occupation	occupationLabelSv	occupationLabelEn
http://www.wikidata.org/entity/Q820037	gruvarbetare	miner
http://www.wikidata.org/entity/Q215536	köpman	merchant
http://www.wikidata.org/entity/Q215279	frilans	freelancer
http://www.wikidata.org/entity/Q476246	seglare	sailor
http://www.wikidata.org/entity/Q477406	regent	regent
http://www.wikidata.org/entity/Q667982	creative Director	creative director
http://www.wikidata.org/entity/Q664702	vadhållningsagent	bookmaker
http://www.wikidata.org/entity/Q680928	vakt	guard
http://www.wikidata.org/entity/Q683476	ekonomisk rådgivare	financial adviser
http://www.wikidata.org/entity/Q475604	lots	maritime pilot
http://www.wikidata.org/entity/Q472898	amma	wet nurse
http://www.wikidata.org/entity/Q437470	personlig assistans	personal care assistant
http://www.wikidata.org/entity/Q443169	kallskänka	garde manger
http://www.wikidata.org/entity/Q432425	färdmekaniker	flight engineer
http://www.wikidata.org/entity/Q437512	vävare	weaver
http://www.wikidata.org/entity/Q484876	verkställande direktör	chief executive officer
http://www.wikidata.org/entity/Q39018	kejsare	emperor
http://www.wikidata.org/entity/Q685433	försäljare	sales representative
http://www.wikidata.org/entity/Q683754	ritare	drafter
http://www.wikidata.org/entity/Q42973	arkitekt	architect
http://www.wikidata.org/entity/Q42909	reporter	reporter
http://www.wikidata.org/entity/Q490253	professionell golfspelare	professional golfer
http://www.wikidata.org/entity/Q491656	fakir	Fakir
http://www.wikidata.org/entity/Q658404	serietextare	letterer
http://www.wikidata.org/entity/Q664283	glasmästare	glazier
http://www.wikidata.org/entity/Q41583	tränare	coach
http://www.wikidata.org/entity/Q38142	samuraj	samurai
http://www.wikidata.org/entity/Q40348	advokat	lawyer
http://www.wikidata.org/entity/Q253567	lärling	apprentice
http://www.wikidata.org/entity/Q247797	tulltjänsteman	customs officer
http://www.wikidata.org/entity/Q252924	VVS-montör	plumber
http://www.wikidata.org/entity/Q242468	skräddare	tailor
http://www.wikidata.org/entity/Q485178	analytiker	analyst
http://www.wikidata.org/entity/Q849424	sjökapten	ship captain
http://www.wikidata.org/entity/Q851436	livvakt	bodyguard
http://www.wikidata.org/entity/Q829064	yrkessoldat	career soldier
http://www.wikidata.org/entity/Q829020	busschaufför	bus driver
http://www.wikidata.org/entity/Q245068	komiker	comedian
http://www.wikidata.org/entity/Q688576	skatterådgivare	tax advisor
http://www.wikidata.org/entity/Q691167	dispaschör	claims adjuster
http://www.wikidata.org/entity/Q689045	automationstekniker	automatician
http://www.wikidata.org/entity/Q41674	webbansvarig	webmaster
http://www.wikidata.org/entity/Q42857	profet	prophet
http://www.wikidata.org/entity/Q226008	japansk idol	Japanese idol
http://www.wikidata.org/entity/Q230763	tillskärare	patternmaker
http://www.wikidata.org/entity/Q228422	konduktör	conductor
http://www.wikidata.org/entity/Q233053	cykelmekaniker	bicycle mechanic
http://www.wikidata.org/entity/Q832136	affärsansvarig	business manager
http://www.wikidata.org/entity/Q833860	hembiträde	maid
http://www.wikidata.org/entity/Q831831	företagshälsovård	occupational physician
