Q1743677	Kiruna FF	Q83232	Kiruna	1970-01-01	Q2736	fotboll	10
Q2123766	Qviding FIF	Q25287	Göteborg	1987-01-01	Q2736	fotboll	10
Q796163	BK Derby	Q25413	Linköping	1912-04-15	Q2736	fotboll	9
Q1653582	IF Sylvia	Q25724	Norrköping	1922-01-01	Q183018	bandy	9
Q7937348	Vittsjö GIK	Q2296795	Vittsjö	1933-11-22	Q2736	friidrott, fotboll	9
Q1508540	Gårda BK	Q25287	Göteborg	1919-11-01	Q2736	fotboll	9
Q1456427	Lunds BK	Q2167	Lund	1919-01-01	Q2736	fotboll	9
Q1949611	Motala AIF FK	Q54357	Motala	1907-01-01	Q2736	fotboll	9
Q740232	Falkenbergs VBK	Q54766	Falkenberg	1985-01-01	Q1734	volleyboll	8
Q7899165	Uppsala Basket	Q25286	Uppsala	1960-01-01	Q5372	basket	8
Q2405952	Sundsvall Dragons	Q26476	Sundsvall	1939-01-01	Q5372	basket	8
Q7903261	Utsiktens BK	Q25287	Göteborg	1935-01-01	Q2736	fotboll	8
Q937278	Kristianstads FF	Q26937	Kristianstad	1990-01-01	Q2736	fotboll	8
Q889641	Bodens BK	Q586179	Boden	1916-11-02	Q183018	fotboll, bandy	8
Q3106294	Högaborgs BK	Q25411	Helsingborg	1927-01-01	Q2736	fotboll	8
Q307639	Öxabäcks IF	Q307636	Öxabäck	1931-01-01	Q2736	fotboll	7
Q670251	Gävle GIK	Q25748	Gävle	1906-05-06	Q206763	fotboll, ishockey, innebandy	7
Q3642833	Borås Basket	Q26040	Borås	1952-01-01	Q5372	basket	7
Q1367807	Eskilstuna City FK	Q26498	Eskilstuna	1907-11-01	Q2736	fotboll	7
Q1475543	IBK Dalen	Q25579	Umeå	1990-01-01	Q206763	innebandy	7
Q16830343	Alliance	Q25287	Göteborg	2013-01-01	Q300920	fotboll, e-sport	7
Q823121	Högadals IS	Q54769	Karlshamn	1921-03-21	Q2736	fotboll	7
Q1512147	IFK Hässleholm	Q847665	Hässleholm	1905-01-01	Q7291	fotboll, badminton	7
Q796170	BK Forward	Q25732	Örebro	1934-01-01	Q2736	fotboll	7
Q1540765	IF Limhamn Bunkeflo	Q2211	Malmö	2008-01-01	Q2736	fotboll	7
Q1374786	Gunnilse IS	Q25287	Göteborg	1950-01-01	Q2736	fotboll	7
Q502628	Sunnanå SK	Q54344	Skellefteå	1939-01-01	Q2736	fotboll	7
Q1654916	IS Göta	Q25411	Helsingborg	1925-01-01	Q8418	tennis, handboll	6
Q3190665	Jämtland Basket	Q26515	Östersund	1956-01-01	Q5372	basket	6
Q6449644	Kvarnsvedens IK	Q54341	Borlänge	1962-01-01	Q2736	fotboll	6
Q1133590	Nyköpings BIS	Q54356	Nyköping	1966-01-01	Q2736	fotboll	6
Q1465095	Friska Viljor FC	Q28327	Örnsköldsvik	1994-01-01	Q2736	fotboll	6
Q1549743	Robertsfors IK	Q1615045	Robertsfors	1907-01-01	Q2736	fotboll	6
Q1569068	IFK Östersund	Q26515	Östersund	1906-01-01	Q2736	fotboll	6
Q1387576	FC Rosengård	Q2211	Malmö	2001-01-01	Q2736	fotboll	6
Q10542234	KFUM Nässjö	Q654299	Nässjö	1939-01-01	Q5372	basket	5
Q1653563	IF Saab	Q25413	Linköping	1941-07-08	Q847	tennis	5
Q10493361	FC Helsingborg	Q25411	Helsingborg	2000-01-01	Q206763	innebandy	5
Q1356271	Vallentuna BK	Q54358	Vallentuna	1919-01-01	Q2736	fotboll	5
Q3289549	Frösö IF	Q1004189	Frösön	1921-01-01	Q2736	fotboll	5
Q796176	BK Kenty	Q25413	Linköping	1932-04-10	Q183018	fotboll, bandy	5
Q3063040	FBK Balkan	Q2211	Malmö	1962-10-22	Q2736	fotboll	5
Q3289869	IFK Klagshamn	Q2211	Malmö	1921-01-01	Q2736	fotboll	5
Q1796568	Köping FF	Q174126	Köping	1910-01-01	Q2736	fotboll	5
Q10542100	Jönköpings IK	Q25415	Jönköping	1985-03-09	Q206763	innebandy	5
Q377064	Hudiksvalls ABK	Q642964	Hudiksvall	1931-01-01	Q2736	fotboll	5
Q387753	Strands IF	Q642964	Hudiksvall	1901-01-01	Q2736	fotboll	5
Q10532763	IBF Falun	Q26509	Falun	1993-01-01	Q206763	innebandy	5
Q937252	Skellefteå FF	Q54344	Skellefteå	1921-01-01	Q2736	fotboll	5
Q10590064	Mullsjö AIS	Q1625556	Mullsjö	1989-11-01	Q206763	innebandy	5
Q1643489	Höganäs BK	Q911875	Höganäs	1913-01-01	Q2736	fotboll	5
Q1394418	Falköpings KIK	Q21165	Falköping	1976-01-01	Q2736	fotboll	5
Q31889815	Köping Basket	Q174126	Köping	2003-01-01	Q5372	basket	4
Q19977942	FK Karlskrona	Q25789	Karlskrona	2012-01-01	Q2736	fotboll	4
Q10423922	BK Ume-Trixa	Q25579	Umeå	1981-01-01	Q3844480	bandy, ishockey, rinkbandy	4
Q3494415	Växjö Vipers	Q26152	Växjö	1988-01-01	Q206763	innebandy	4
Q5333149	Eco Örebro	Q25732	Örebro	2009-01-01	Q5372	basket	4
Q5406793	Skellefteå Innebandy IF	Q54344	Skellefteå	1986-01-01	Q206763	innebandy	4
Q3348746	Ockelbo BBK	Q122378	Ockelbo	1969-01-01	Q5372	basket	4
Q1356739	IF Tunabro	Q54341	Borlänge	1960-01-01	Q2736	fotboll	4
Q733146	Carlstad United BK	Q25457	Karlstad	1998-01-01	Q2736	fotboll	4
Q6915259	Morön BK	Q54344	Skellefteå	1935-01-01	Q2736	fotboll	4
Q1160988	Nybro IF	Q930238	Nybro	1906-01-01	Q2736	fotboll	4
Q7699846	Tenhults IF	Q2264128	Tenhult	1912-01-01	Q2736	fotboll	4
Q1244058	IFK Kalix	Q83681	Kalix	1921-01-01	Q183018	bandy	4
Q848442	Falu FK	Q26509	Falun	2006-01-01	Q2736	fotboll	4
Q848424	Skärhamns IK	Q1026309	Skärhamn	1932-01-01	Q2736	fotboll	4
Q833746	Alets IK	Q26521	Halmstad	1923-01-01	Q2736	fotboll	4
Q1134557	Skiljebo SK	Q25412	Västerås	1944-01-01	Q2736	fotboll	4
Q10532863	IFK Uppsala Fotboll	Q25286	Uppsala	1895-01-01	Q2736	fotboll	4
Q1136337	KB Karlskoga	Q54732	Karlskoga	1963-01-01	Q2736	fotboll	4
Q1132517	Ytterby IS	Q27455	Kungälv	1947-01-01	Q2736	fotboll	4
Q1127659	Söderhamns FF	Q746839	Söderhamn	1986-01-01	Q2736	fotboll	4
Q1136775	IFK Timrå	Q1195439	Timrå	1978-01-01	Q2736	fotboll	4
Q5625909	Gällivare-Malmbergets Fotbollsförening	Q259046	Gällivare	2005-01-01	Q2736	fotboll	4
Q5513488	GIF Nike	Q995369	Lomma	1919-01-01	Q7291	fotboll, badminton	4
Q917592	Kubikenborgs IF	Q26476	Sundsvall	1919-01-01	Q2736	fotboll	4
Q937239	Syrianska IF Kerburan	Q25412	Västerås	1977-01-01	Q2736	fotboll	4
Q926334	FC Gute	Q54757	Visby	1904-01-01	Q2736	fotboll	4
Q10603081	Luleå BBK	Q26268	Luleå	1978-01-01	Q5372	basket	4
Q928028	Kinna IF	Q667818	Kinna	1934-01-01	Q2736	fotboll	4
Q787546	IK Huge	Q25748	Gävle	1927-01-01	Q41466	innebandy, handboll, bandy, ishockey	4
Q5245650	Karlslunds IF FK	Q25732	Örebro	1920-01-01	Q2736	fotboll	4
Q4808836	Assi IF	Q2185765	Risögrund	1968-01-01	Q2736	fotboll	4
Q638958	Norsjö IF	Q1017058	Norsjö	1919-01-01	Q2736	fotboll	4
Q10532841	IFK Nässjö	Q654299	Nässjö	1924-01-01	Q183018	bandy	3
Q6742112	Malbas	Q2211	Malmö	1969-01-01	Q5372	basket	3
Q58875160	Kungsbacka DFF	Q28374	Kungsbacka	2013-01-01	Q2736	fotboll	3
Q10515391	Habo IF	Q1566951	Habo	1926-04-26	Q2215841	tennis, friidrott, bordtennis, fotboll, orientering, skidsport, handboll, gymnastik, gång, bandy, cykelsport	3
Q10571214	Lyckeby BTK	Q1473587	Lyckeby	1946-12-16	Q3930	bordtennis	3
Q10542813	Kalmar BTK	Q26345	Kalmar	1960-06-14	Q3930	bordtennis	3
Q10515392	Habo Wolley	Q1566951	Habo	1987-01-01	Q1734	volleyboll	3
Q3788489	IFK Karlskrona	Q25789	Karlskrona	1939-01-01	Q8418	handboll	3
Q10728118	Östersunds BS	Q26515	Östersund	1974-09-05	Q183018	bandy	3
Q10516489	Halmstad  BTK	Q26521	Halmstad	1937-10-27	Q3930	bordtennis	3
Q19281942	Öråns SK	Q983893	Lycksele	1970-01-01	Q7291	skidsport, innebandy, bordtennis, friidrott, badminton	3
Q10499180	Frillesås BK	Q1464921	Frillesås	1960-01-01	Q183018	bandy	3
Q25427728	Gustavsbergs OK	Q1011837	Gustavsberg	2005-01-01	Q29358	orientering	3
Q10542232	KFUM Jönköping	Q25415	Jönköping	1855-01-01	Q8418	volleyboll, handboll	3
Q4016704	Västra Frölunda IF Handboll	Q25287	Göteborg	1930-01-01	Q8418	handboll	3
Q7063785	Notvikens IK	Q26268	Luleå	1936-01-01	Q206763	fotboll, innebandy	3
Q2866075	Arvika Basket	Q654308	Arvika	1976-01-01	Q5372	basket	3
Q7289732	Ramlösa Södra FF	Q25411	Helsingborg	2007-01-01	Q2736	fotboll	3
Q17448446	Kälarne IK	Q2240928	Kälarne	1920-02-14	Q2736	fotboll	3
Q9204273	Värmbols FC	Q54758	Katrineholm	1990-01-01	Q2736	fotboll	3
Q10423907	Västerås BK30	Q25412	Västerås	1929-11-29	Q2736	fotboll	3
Q10728120	Östersunds DFF	Q26515	Östersund	2001-01-01	Q2736	fotboll	3
Q6554451	Linköpings FF	Q25413	Linköping	1981-01-01	Q2736	fotboll	3
Q9170668	Selånger FK	Q26476	Sundsvall	1921-01-01	Q2736	fotboll	3
Q6660997	Ljungby IF	Q744491	Ljungby	1914-01-01	Q2736	fotboll	3
Q338361	Smedby AIS	Q25724	Norrköping	1929-01-01	Q2736	fotboll	3
Q10716048	Visby BBK	Q54757	Visby	1992-01-01	Q5372	basket	3
Q15382696	Tomasgårdens IF	Q25412	Västerås	1982-01-01	Q206763	innebandy	3
Q5520240	Gamla Upsala SK	Q25286	Uppsala	1947-04-20	Q2736	fotboll	3
Q15307562	Tenhults IBK	Q2264128	Tenhult	1988-01-01	Q206763	innebandy	3
Q891468	Bollnäs GIF FF	Q953769	Bollnäs	1895-01-01	Q2736	fotboll	3
Q10659022	Västerås Rönnby IBK	Q25412	Västerås	1992-01-01	Q206763	innebandy	3
Q10562759	Linköping IBK	Q25413	Linköping	2008-01-01	Q206763	innebandy	3
Q10542202	KAIS Mora IF	Q849874	Mora	2004-01-01	Q206763	innebandy	3
Q7665794	Sävast AIF	Q586179	Boden	1977-01-01	Q2736	fotboll	3
Q7071403	Nässjö FF	Q654299	Nässjö	1985-01-01	Q2736	fotboll	3
Q6030090	Infjärdens SK	Q21169	Piteå	1990-01-01	Q2736	fotboll	3
Q1866800	Ljusdals IF	Q1019575	Ljusdal	1904-06-09	Q43450	friidrott, fotboll, backhoppning, tävlingssimning, handboll, orientering, längdåkning, bandy, ishockey, gymnastik	3
Q6432674	Korsnäs IF	Q26509	Falun	1904-01-01	Q2736	fotboll	3
Q25427756	Kristinehamns OK	Q215832	Kristinehamn	1953-01-01	Q29358	orientering	2
Q107392346	Bara GIF	Q1185188	Bara	1966-01-01	Q2736	fotboll	2
Q7639878	Sundsvalls SS	Q26476	Sundsvall	1871-01-01	Q31920	tävlingssimning	2
Q31887457	IF Örnen	Q1013299	Charlottenberg	1911-01-01	Q2736	fotboll	2
Q271272	Åshammars IK	Q940812	Åshammar	1922-01-01	Q43450	längdåkning, fotboll, gymnastik	2
Q21004152	Umeå BSKT	Q25579	Umeå	2012-01-01	Q5372	basket	2
Q302716	Lunds akademiska schackklubb	Q2167	Lund	1906-09-30	Q718	schack	2
Q5391917	Örnsköldsvik IBK	Q28327	Örnsköldsvik	1987-01-01	Q206763	innebandy	2
Q5587857	Gothia Basket	Q25287	Göteborg	1958-01-01	Q5372	basket	2
Q1653053	IBF Älvstranden	Q25287	Göteborg	1996-01-01	Q206763	innebandy	2
Q16846974	Östavalls IF	Q3474026	Östavall	1928-01-01	Q2736	fotboll	2
Q106769336	Lucksta IF	Q2136669	Lucksta	1920-01-01	Q2736	fotboll	2
Q10712899	Varberg Hockey	Q21168	Varberg	2011-01-01	Q41466	ishockey	2
Q10716044	Visby IBK	Q54757	Visby	1988-01-01	Q206763	innebandy	2
Q16801986	Höllvikens Innebandyförening	Q1025480	Höllviken	2008-01-01	Q206763	innebandy	2
Q10613681	Oxie GK	Q2211	Malmö	2009-01-01	Q5377	golf	2
Q10520528	Helsingborg BBK	Q25411	Helsingborg	1978-01-01	Q5372	basket	2
Q10532758	FBC Engelholm	Q54755	Ängelholm	1989-01-01	Q206763	innebandy	2
Q10660313	Sala IBK	Q930262	Sala	1979-09-21	Q206763	innebandy	2
Q10532773	IBK Lockerud Mariestad	Q948117	Mariestad	1983-01-01	Q206763	innebandy	2
Q6547958	Lilla Torg FF	Q2211	Malmö	2006-01-01	Q2736	fotboll	2
Q85046878	Laholms RF	Q503050	Laholm	1952-01-01	Q179226	hästhållning	1
Q84972600	Gränna AIS	Q194353	Gränna	1927-01-01	Q2426135	fotboll, gymnastik, innebandy, racketsport	1
Q96210333	Roslagen Bulldogs	Q54728	Åkersberga	1988-01-01	Q41323	amerikansk fotboll	1
Q107256365	Gerdskens BK	Q54743	Alingsås	1933-10-12	Q2736	fotboll	1
Q108552365	IF Lejonet	Q54352	Landskrona	1966-01-01	Q41466	ishockey	1
Q10589622	Motala AIF Skrinnarna	Q54357	Motala	1907-08-29	Q779272	skridskosport	1
Q87193325	Gripenbergs BK	Q2665880	Gripenberg	1928-01-01	Q2736	fotboll	1
Q110706989	Gånghester SK	Q2921055	Gånghester	1940-01-01	Q2736	fotboll	1
Q10550412	Kungälvs BGK	Q27455	Kungälv	1974-01-01	Q754796	bangolf	1
Q110154894	Tuolluvaara IF	Q83232	Kiruna	1937-01-01	Q41466	fotboll, ishockey	1
Q102251029	Krylbo IF	Q83682	Avesta	1908-01-01	Q2736	fotboll	1
Q102222027	Skiveds IF	Q1303800	Forshaga	1939-01-01	Q41466	fotboll, ishockey	1
Q101976451	Skattkärrs IK	Q59052	Skutskär	1984-01-01	Q206763	innebandy	1
Q106730307	Kalmar Simsällskap	Q26345	Kalmar	1920-01-01	Q31920	tävlingssimning	1
Q98399783	Mullsjö IF	Q1625556	Mullsjö	1919-02-10	Q2736	fotboll	1
Q110982407	Sunne Basket	Q1886476	Sunne	1958-01-01	Q5372	basket	1
Q98379961	Trångsvikens IF	Q1650203	Krokom	1920-01-01	Q179687	friidrott, längdåkning	1
Q105424180	Hultsfreds AIK	Q1636399	Hultsfred	1916-04-01	Q41466	ishockey	1
Q10508125	Granlo BK	Q26476	Sundsvall	1987-01-01	Q2736	fotboll	1
Q86922459	IK Terra	Q25413	Linköping	1959-01-01	Q41466	ishockey	1
Q106153977	Göteborgs Damers Simklubb	Q25287	Göteborg	1912-01-01	Q31920	tävlingssimning	1
Q106226016	Masthuggets sim och idrottssällskap	Q25287	Göteborg	1934-11-25	Q31920	tävlingssimning	1
Q10688792	Södertälje BGK	Q26518	Södertälje	1938-01-01	Q754796	bangolf	1
Q103138956	Diö GoIF	Q778536	Diö	1929-08-01	Q41466	ishockey	1
Q107429059	Bonäs IK	Q953769	Bollnäs	1947-01-01	Q41466	ishockey	1
Q10516490	Halmstad IBK	Q26521	Halmstad	1989-01-01	Q206763	innebandy	1
Q10426053	Bankeryds Basket	Q2391850	Bankeryd	1981-01-01	Q5372	basket	1
Q10443130	Carlshamns IBK	Q54769	Karlshamn	1985-01-01	Q206763	innebandy	1
Q10499633	Fränsta IBK	Q1471281	Fränsta	1992-01-01	Q206763	innebandy	1
Q10493357	FBI Tullinge	Q3622685	Tullinge	1981-01-01	Q206763	innebandy	1
Q10495609	Finspångs IBK	Q1000129	Finspång	1990-02-02	Q206763	innebandy	1
Q10501946	Gais Damer	Q25287	Göteborg	1970-01-01	Q2736	fotboll	1
Q110497132	Gunnebo IF	Q2239257	Gunnebo	1927-11-20	Q2736	fotboll	1
Q10674045	Sorunda IF	Q2539876	Sorunda	1927-07-06	Q8418	fotboll, handboll	1
Q30899848	Kvarnsvedens IK	Q54341	Borlänge	2003-01-01	Q2736	fotboll	1
Q10683826	Sundsvall City	Q26476	Sundsvall	2006-01-01	Q206763	innebandy	1
Q105350731	Sundsvall FBC	Q26476	Sundsvall	2018-01-01	Q206763	innebandy	1
Q69796863	Palmstaden IK	Q26943	Trelleborg	1986-01-01	Q206763	innebandy	1
Q10719503	Wedeby IBK	Q25789	Karlskrona	1997-01-01	Q206763	innebandy	1
Q10706895	Tvååkers IBK	Q2394008	Tvååker	1986-01-01	Q206763	innebandy	1
Q18291591	Kärra IBK	Q10551880	Kärra	2005-09-29	Q206763	innebandy	1
Q10676534	Sportlife Kungälv IBK	Q27455	Kungälv	1986-01-01	Q206763	innebandy	1
Q10726348	Åkersberga IBF	Q54728	Åkersberga	1985-01-01	Q206763	innebandy	1
Q10532769	IBK Finn	Q2167	Lund	1993-01-01	Q206763	innebandy	1
Q10532761	IBF Backalirarna	Q2211	Malmö	1997-03-01	Q206763	innebandy	1
Q10656163	Robertshöjd BK	Q25287	Göteborg	1984-01-01	Q206763	innebandy	1
Q10532775	IBK Runsten	Q25748	Gävle	1992-01-01	Q206763	innebandy	1
Q10532760	IBC Östersund	Q26515	Östersund	1992-01-01	Q206763	innebandy	1
Q10593229	Märserums IBK	Q54769	Karlshamn	2004-01-01	Q206763	innebandy	1
Q10535468	Ingelstad IBK	Q1857569	Ingelstad	1988-01-01	Q206763	innebandy	1
Q10532542	Hölö SK	Q2431323	Hölö	1981-01-01	Q206763	innebandy	1
Q10561926	Lillån IBK	Q10561923	Lillån	2002-01-01	Q206763	innebandy	1
Q10532778	Växjö IBK Utveckling	Q26152	Växjö	1996-01-01	Q206763	innebandy	1
Q10670295	Skoghalls IBK	Q576644	Skoghall	1985-01-01	Q206763	innebandy	1
Q10606792	Odelberg-Gustavsberg IBK	Q1011837	Gustavsberg	1984-01-01	Q206763	innebandy	1
Q10532926	IK Stanstad	Q1003201	Staffanstorp	1993-01-01	Q206763	innebandy	1
Q18291738	Lidingö Saints	Q54349	Lidingö	2009-01-01	Q41323	amerikansk fotboll	0
Q98399734	Furusjö IF	Q2695509	Furusjö	1950-02-01	Q2736	fotboll	0
Q98399781	Habo JK	Q1566951	Habo	1998-04-01	Q11420	judo	0
Q98399562	Habo HK	Q1566951	Habo	1990-01-01	Q8418	handboll	0
Q98603388	Habo PK	Q1566951	Habo	1957-01-01	Q206989	sportskytte	0
Q98399585	Hagaboda SK	Q1566951	Habo	1989-01-01	Q206763	innebandy	0
Q98399791	Sandhems IF	Q2054865	Sandhem	1925-03-20	Q130949	fotboll, gymnastik, löpning, innebandy, skidsport	0
Q98399803	Mullsjö SOK	Q1625556	Mullsjö	1954-01-01	Q130949	löpning, orientering, skidsport	0
Q102414243	Jönköpings BK	Q25415	Jönköping	1919-01-01	Q8418	fotboll, handboll	0
Q103749158	Östra SK	Q25415	Jönköping	1984-01-31	Q206763	fotboll, innebandy	0
Q103756252	IK Reif	Q25415	Jönköping	1950-01-01	Q2736	fotboll	0
Q103756256	IK Heid	Q25415	Jönköping	1940-01-01	Q8418	fotboll, handboll	0
Q103782051	BK Spartanerna	Q25415	Jönköping	1948-01-01	Q8418	fotboll, handboll	0
Q103783451	Jönköpings BS	Q25415	Jönköping	1939-11-01	Q172809	bowling	0
Q98716362	Örnsköldsviks MGK	Q28327	Örnsköldsvik	1945-01-01	Q754796	bangolf	0
Q98716307	Haga BGK	Q25724	Norrköping	1960-01-01	Q754796	bangolf	0
Q98716292	BGK VK-78	Q25748	Gävle	1978-01-01	Q754796	bangolf	0
Q98744693	Valbo minigolfklubb	Q25748	Gävle	1972-01-01	Q754796	bangolf	0
Q98716297	Djulö BGK	Q54758	Katrineholm	1968-01-01	Q754796	bangolf	0
Q98716340	Strängnäs BGK	Q106909	Strängnäs	1942-07-01	Q754796	bangolf	0
Q98716300	Eskilstuna BGK	Q26498	Eskilstuna	1934-01-01	Q754796	bangolf	0
Q98716334	Skoghalls BGK	Q576644	Skoghall	1976-08-31	Q754796	bangolf	0
Q98716354	Valdemarsviks BGK	Q999317	Valdemarsvik	1968-01-01	Q754796	bangolf	0
Q102415464	Jönköpings SLK	Q25415	Jönköping	1983-01-01	Q186222	alpin skidsport	0
