person	personLabelSv	cityOfBirth	occupationLabelsSv	occupationLabelsEn	sitelinks	occupationLabelsDe	occupationLabelsEs
http://www.wikidata.org/entity/Q5782727	Rolf Hagstrand	http://www.wikidata.org/entity/Q2549927	arkitekt	architect	3	Architekt	arquitecto
http://www.wikidata.org/entity/Q6086132	Bengt-Ola Ryttar	http://www.wikidata.org/entity/Q642964	politiker	politician	3	Politiker	político
http://www.wikidata.org/entity/Q5799323	Jörgen Hellman	http://www.wikidata.org/entity/Q2458955	politiker	politician	3	Politiker	político
http://www.wikidata.org/entity/Q15718105	Ebba Nordenadler	http://www.wikidata.org/entity/Q642964	översättare, författare	translator, writer	3	Schriftsteller, Übersetzer	escritor, traductor
http://www.wikidata.org/entity/Q19604929	Jan Rydberg	http://www.wikidata.org/entity/Q2211	författare	writer	3	Schriftsteller	escritor
http://www.wikidata.org/entity/Q19976931	Sara Larsson	http://www.wikidata.org/entity/Q2211	författare, politiker	author, politician	3	Politiker, Autor	político, autor
http://www.wikidata.org/entity/Q5571280	Lars Berg	http://www.wikidata.org/entity/Q2472471	militär, politiker, civilingenjör	military personnel, politician, civil engineer	3	Militär, Politiker, Bauingenieur	militar, político, ingeniero civil
http://www.wikidata.org/entity/Q5753132	Mikael Gath	http://www.wikidata.org/entity/Q2476667	ishockeyspelare	ice hockey player	3	Eishockeyspieler	jugador de hockey sobre hielo
http://www.wikidata.org/entity/Q4990146	Carolina Wallin Pérez	http://www.wikidata.org/entity/Q201182	sångare	singer	3	Sänger	cantante
http://www.wikidata.org/entity/Q2345137	Eric Holmqvist	http://www.wikidata.org/entity/Q202408	politiker	politician	3	Politiker	político
http://www.wikidata.org/entity/Q19248858	Ronny Carlsson	http://www.wikidata.org/entity/Q2211	poet, musiker	poet, musician	3	Dichter, Musiker	poeta, músico
http://www.wikidata.org/entity/Q6180013	Gösta Skoglund	http://www.wikidata.org/entity/Q642964	lärare, politiker	teacher, politician	3	Politiker, Lehrer	político, profesor
http://www.wikidata.org/entity/Q6235141	Karl-Erik Welin	http://www.wikidata.org/entity/Q277849	kompositör, pianist, organist	composer, pianist, organist	3	Pianist, Komponist, Organist	pianista, compositor, organista
http://www.wikidata.org/entity/Q19298923	Ralph Bornhöft	http://www.wikidata.org/entity/Q2211	politiker	politician	3	Politiker	político
http://www.wikidata.org/entity/Q18127605	Kim Rosdahl	http://www.wikidata.org/entity/Q2211	ishockeyspelare	ice hockey player	3	Eishockeyspieler	jugador de hockey sobre hielo
http://www.wikidata.org/entity/Q5802648	Sven Hermelin	http://www.wikidata.org/entity/Q2470206	arkitekt	architect	3	Architekt	arquitecto
http://www.wikidata.org/entity/Q4933908	Emma Adlerz	http://www.wikidata.org/entity/Q898727	målare	painter	3	Maler	pintor
http://www.wikidata.org/entity/Q26250820	Hedvig Björkman	http://www.wikidata.org/entity/Q599114	konstnär, textilkonstnär	artist, textile artist	3	Künstler, Textilkünstler	artista, artista textil
http://www.wikidata.org/entity/Q18049683	Kristian Benkő	http://www.wikidata.org/entity/Q2211	fotbollsspelare	association football player	3	Fußballspieler	futbolista
http://www.wikidata.org/entity/Q26240347	Sten Wåhlin	http://www.wikidata.org/entity/Q746839	militär	military personnel	3	Militär	militar
http://www.wikidata.org/entity/Q6193302	Hans Jakob Strömberg	http://www.wikidata.org/entity/Q748559	arkitekt	architect	3	Architekt	arquitecto
http://www.wikidata.org/entity/Q6067954	Vilhelm Renhult	http://www.wikidata.org/entity/Q2427509	arkitekt	architect	3	Architekt	arquitecto
http://www.wikidata.org/entity/Q18346977	Jan Norback	http://www.wikidata.org/entity/Q642964	tennisspelare	tennis player	3	Tennisspieler	tenista
http://www.wikidata.org/entity/Q57168715	Linda Modig	http://www.wikidata.org/entity/Q2464406	politiker	politician	3	Politiker	político
http://www.wikidata.org/entity/Q5915935	Per Knuts	http://www.wikidata.org/entity/Q2485434	högre chef, friidrottare	executive, athletics competitor	3	Führungskraft, Leichtathlet	ejecutivo, atleta
http://www.wikidata.org/entity/Q4980748	Anita Strandell	http://www.wikidata.org/entity/Q642964	sångare	singer	3	Sänger	cantante
http://www.wikidata.org/entity/Q2371086	Sven Hanson	http://www.wikidata.org/entity/Q215832	simmare	swimmer	3	Schwimmer	nadador
http://www.wikidata.org/entity/Q4980077	Karin Starrin	http://www.wikidata.org/entity/Q746839	politiker, ämbetsman	politician, civil servant	3	Politiker, Staatsdiener	político, funcionario
http://www.wikidata.org/entity/Q16105907	Solveig Egman-Andersson	http://www.wikidata.org/entity/Q654308	artistisk gymnast	artistic gymnast	3	Geräteturner	gimnasta artístico
http://www.wikidata.org/entity/Q5621237	Gustaf Stolpe	http://www.wikidata.org/entity/Q668933	kompositör, organist, dirigent, kapellmästare	composer, organist, conductor, kapellmeister	3	Komponist, Dirigent, Kapellmeister, Organist	compositor, director de orquesta, maestro de capilla, organista
http://www.wikidata.org/entity/Q62288767	Åke Carlsson	http://www.wikidata.org/entity/Q654299	brottare	amateur wrestler	3	Ringer	luchador
http://www.wikidata.org/entity/Q6063347	Magnus Ranstorp	http://www.wikidata.org/entity/Q2548751	statsvetare	political scientist	3	Politikwissenschaftler	politólogo
http://www.wikidata.org/entity/Q5577306	Emanuel Bjurström	http://www.wikidata.org/entity/Q1001183	politiker, grosshandlare	politician, wholesaler	3	Politiker	político
