person	personLabelSv	cityOfBirth	occupationLabelsSv	occupationLabelsEn	sitelinks	occupationLabelsDe	occupationLabelsEs
http://www.wikidata.org/entity/Q383541	Basshunter	http://www.wikidata.org/entity/Q26521	musikproducent, discjockey, låtskrivare, sångare	record producer, disc jockey, songwriter, singer	201	DJ, Sänger, Songschreiber, Musikproduzent	disc-jockey, cantante, compositor de canciones, productor discográfico
http://www.wikidata.org/entity/Q7546	Ingmar Bergman	http://www.wikidata.org/entity/Q25286	skådespelare, manusförfattare, dramatiker, författare, filmskapare, teaterregissör, filmproducent, regissör, självbiograf, filmregissör	actor, screenwriter, playwright, author, filmmaker, theatrical director, film producer, director, autobiographer, film director	146	Schauspieler, Drehbuchautor, Dramatiker, Autor, Filmemacher, Filmregisseur, Regisseur, Filmproduzent, Autobiograf, Bühnenregisseur	actor, guionista, dramaturgo, autor, cineasta, director de cine, realizador, productor de cine, autobiógrafo, director de teatro
http://www.wikidata.org/entity/Q55767	Astrid Lindgren	http://www.wikidata.org/entity/Q634231	manusförfattare, författare, romanförfattare, barnboksförfattare	screenwriter, writer, novelist, children's writer	110	Drehbuchautor, Schriftsteller, Kinderbuchautor, Romancier	guionista, escritor, escritor de literatura infantil, novelista
http://www.wikidata.org/entity/Q46896	Zlatan Ibrahimović	http://www.wikidata.org/entity/Q2211	fotbollsspelare	association football player	108	Fußballspieler	futbolista
http://www.wikidata.org/entity/Q129173	Verner von Heidenstam	http://www.wikidata.org/entity/Q2257230	poet, målare, författare	poet, painter, writer	91	Schriftsteller, Dichter, Maler	escritor, poeta, pintor
http://www.wikidata.org/entity/Q93137	Pär Lagerkvist	http://www.wikidata.org/entity/Q26152	manusförfattare, författare, poet, dramatiker, essäist, självbiograf	screenwriter, writer, poet, playwright, essayist, autobiographer	87	Drehbuchautor, Dichter, Schriftsteller, Autobiograf, Essayist, Dramatiker	guionista, poeta, escritor, autobiógrafo, ensayista, dramaturgo
http://www.wikidata.org/entity/Q131326	Eyvind Johnson	http://www.wikidata.org/entity/Q586179	författare, filmregissör, journalist, romanförfattare, poet, översättare, arkitekt	writer, film director, journalist, novelist, poet, translator, architect	81	Schriftsteller, Architekt, Übersetzer, Dichter, Journalist, Romancier, Filmregisseur	escritor, arquitecto, traductor, poeta, periodista, novelista, director de cine
http://www.wikidata.org/entity/Q13423853	Felix Kjellberg	http://www.wikidata.org/entity/Q25287	författare, gamer, TV-producent, internetkändis, youtubare	writer, gamer, television producer, internet celebrity, YouTuber	78	Fernsehproduzent, YouTuber, Schriftsteller, Internetpersönlichkeit, Gamer	productor de televisión, youtuber, escritor, celebridad de internet, jugador de videojuegos
http://www.wikidata.org/entity/Q160518	Gustaf Dalén	http://www.wikidata.org/entity/Q1014060	entreprenör, företagsledare, ingenjör, fysiker, uppfinnare	entrepreneur, business executive, engineer, physicist, inventor	77	Ingenieur, Unternehmer, Physiker, Erfinder, Unternehmensleiter	ingeniero, emprendedor, físico, inventor, jefe de empresa
http://www.wikidata.org/entity/Q173144	Agnetha Fältskog	http://www.wikidata.org/entity/Q25415	skådespelare, kompositör, låtskrivare, självbiograf, schlagersångare, dansbandssångare, discosångare, skivartist, popsångare	actor, composer, songwriter, autobiographer, schlager singer, dansband singer, disco singer, recording artist, pop singer	76	Autobiograf, Songschreiber, Aufnahmekünstler, Popsänger, Komponist, Schauspieler	autobiógrafo, compositor de canciones, artista discográfico, cantante de pop, compositor, actor
http://www.wikidata.org/entity/Q230662	Anita Ekberg	http://www.wikidata.org/entity/Q2211	skådespelare, skönhetstävlingsdeltagare, filmskådespelare, modell	actor, beauty pageant contestant, film actor, model	71	Schauspieler, Model, Filmschauspieler, Schönheitswettbewerbsteilnehmer	actor, modelo, actor de cine, participante en concursos de belleza
http://www.wikidata.org/entity/Q203215	Max von Sydow	http://www.wikidata.org/entity/Q2167	skådespelare, scenskådespelare, filmregissör, filmskådespelare, TV-skådespelare, regissör	actor, stage actor, film director, film actor, television actor, director	69	Schauspieler, Filmschauspieler, Fernsehschauspieler, Filmregisseur, Bühnenschauspieler, Regisseur	actor, actor de cine, actor de televisión, director de cine, actor de teatro, realizador
http://www.wikidata.org/entity/Q372460	Måns Zelmerlöw	http://www.wikidata.org/entity/Q2167	skådespelare, sångare, TV-programledare	actor, singer, television presenter	67	Schauspieler, Sänger, Fernsehmoderator	actor, cantante, presentador de televisión
http://www.wikidata.org/entity/Q439314	Alicia Vikander	http://www.wikidata.org/entity/Q25287	röstskådespelare, filmproducent, skådespelare, filmskådespelare, scenskådespelare, dansare	voice actor, film producer, actor, film actor, stage actor, dancer	67	Schauspieler, Bühnenschauspieler, Sprecher, Filmproduzent, Tänzer, Filmschauspieler	actor, actor de teatro, actor de voz, productor de cine, bailarín, actor de cine
http://www.wikidata.org/entity/Q186317	Stieg Larsson	http://www.wikidata.org/entity/Q2491686	manusförfattare, redaktör, författare, journalist	screenwriter, editor, writer, journalist	63	Schriftsteller, Herausgeber, Drehbuchautor, Journalist	escritor, editor, guionista, periodista
http://www.wikidata.org/entity/Q10560	Fredrik Ljungberg	http://www.wikidata.org/entity/Q2296795	fotbollsspelare, modell, fotbollstränare	association football player, model, association football manager	62	Fußballtrainer, Fußballspieler, Model	entrenador de fútbol, futbolista, modelo
http://www.wikidata.org/entity/Q192712	Kai Siegbahn	http://www.wikidata.org/entity/Q2167	universitetslärare, fysiker	university teacher, physicist	61	Physiker, Hochschullehrer	físico, profesor universitario
http://www.wikidata.org/entity/Q204996	Heliga Birgitta	http://www.wikidata.org/entity/Q2012977	författare, politiker, teolog, filosof, memoarförfattare	writer, politician, theologian, philosopher, memoirist	61	Theologe, Politiker, Philosoph, Memoirenschreiber, Schriftsteller	teólogo, político, filósofo, memorialista, escritor
http://www.wikidata.org/entity/Q153637	Dietrich Buxtehude	http://www.wikidata.org/entity/Q25411	kompositör, musiker, organist	composer, musician, organist	61	Musiker, Organist, Komponist	músico, organista, compositor
http://www.wikidata.org/entity/Q208667	Stellan Skarsgård	http://www.wikidata.org/entity/Q25287	skådespelare, filmproducent, TV-skådespelare, filmskådespelare	actor, film producer, television actor, film actor	59	Schauspieler, Filmschauspieler, Filmproduzent, Fernsehschauspieler	actor, actor de cine, productor de cine, actor de televisión
http://www.wikidata.org/entity/Q180836	Charlotte Perrelli	http://www.wikidata.org/entity/Q2034409	sångare, låtskrivare, skivartist	singer, songwriter, recording artist	58	Sänger, Aufnahmekünstler, Songschreiber	cantante, artista discográfico, compositor de canciones
http://www.wikidata.org/entity/Q179682	Björn Ulvaeus	http://www.wikidata.org/entity/Q25287	kompositör, sångare, musikproducent, musiker, gitarrist, låtskrivare, librettist	composer, singer, record producer, musician, guitarist, songwriter, librettist	58	Komponist, Musikproduzent, Gitarrist, Librettist, Musiker, Songschreiber, Sänger	compositor, productor discográfico, guitarrista, libretista, músico, compositor de canciones, cantante
http://www.wikidata.org/entity/Q53747	Göran Persson	http://www.wikidata.org/entity/Q777901	politiker	politician	57	Politiker	político
http://www.wikidata.org/entity/Q2420983	Sanna Nielsen	http://www.wikidata.org/entity/Q2588526	kompositör, TV-programledare, schlagersångare, dansbandssångare, popsångare	composer, television presenter, schlager singer, dansband singer, pop singer	57	Komponist, Fernsehmoderator, Popsänger	compositor, presentador de televisión, cantante de pop
http://www.wikidata.org/entity/Q179334	Henrik Larsson	http://www.wikidata.org/entity/Q25411	fotbollstränare, fotbollsspelare, innebandyspelare	association football manager, association football player, floorball player	57	Fußballtrainer, Fußballspieler	entrenador de fútbol, futbolista
http://www.wikidata.org/entity/Q52922	Carl Bildt	http://www.wikidata.org/entity/Q26521	diplomat, politiker, bloggare, författare	diplomat, politician, blogger, writer	57	Schriftsteller, Politiker, Diplomat, Blogger	escritor, político, diplomático, bloguero
http://www.wikidata.org/entity/Q183008	Elena Paparizou	http://www.wikidata.org/entity/Q26040	skådespelare, kompositör, sångare, låtskrivare, TV-programledare, modell	actor, composer, singer, songwriter, television presenter, model	57	Schauspieler, Komponist, Fernsehmoderator, Songschreiber, Sänger, Model	actor, compositor, presentador de televisión, compositor de canciones, cantante, modelo
http://www.wikidata.org/entity/Q179493	Bertil Ohlin	http://www.wikidata.org/entity/Q1018739	politiker, nationalekonom, universitetslärare	politician, economist, university teacher	56	Politiker, Wirtschaftswissenschaftler, Hochschullehrer	político, economista, profesor universitario
http://www.wikidata.org/entity/Q52936	Karl X Gustav	http://www.wikidata.org/entity/Q54356	monark	monarch	55	Monarch	monarca
http://www.wikidata.org/entity/Q189542	Stefan Edberg	http://www.wikidata.org/entity/Q54764	tennisspelare, squashspelare	tennis player, squash player	54	Tennisspieler, Squashspieler	tenista, jugador de squash
http://www.wikidata.org/entity/Q159723	Nathan Söderblom	http://www.wikidata.org/entity/Q10705688	universitetslärare, pastor, teolog, historiker, klerk, självbiograf	university teacher, pastor, theologian, historian, cleric, autobiographer	53	Historiker, Pastor, Theologe, Hochschullehrer, Kleriker, Autobiograf	historiador, pastor, teólogo, profesor universitario, clérigo, autobiógrafo
http://www.wikidata.org/entity/Q16475	Mats Wilander	http://www.wikidata.org/entity/Q26152	TV-programledare, tennisspelare, tennistränare	television presenter, tennis player, tennis coach	53	Fernsehmoderator, Tennisspieler, Tennistrainer	presentador de televisión, tenista, entrenador de tenis
http://www.wikidata.org/entity/Q228676	Noomi Rapace	http://www.wikidata.org/entity/Q642964	filmskådespelare, skådespelare	film actor, actor	52	Schauspieler, Filmschauspieler	actor, actor de cine
http://www.wikidata.org/entity/Q127423	Victoria Silvstedt	http://www.wikidata.org/entity/Q2491686	skådespelare, societetsperson, playmate, modell, sångare, skönhetstävlingsdeltagare	actor, socialite, Playboy Playmate, model, singer, beauty pageant contestant	52	Schauspieler, Sänger, Persönlichkeit der Gesellschaft, Playmate, Model, Schönheitswettbewerbsteilnehmer	actor, cantante, socialité, playmate, modelo, participante en concursos de belleza
http://www.wikidata.org/entity/Q233951	Birgit Nilsson	http://www.wikidata.org/entity/Q3353724	sångare, operasångare	singer, opera singer	51	Opernsänger, Sänger	cantante de ópera, cantante
http://www.wikidata.org/entity/Q110111	Gunnar Nordahl	http://www.wikidata.org/entity/Q1018434	fotbollstränare, fotbollsspelare	association football manager, association football player	51	Fußballspieler, Fußballtrainer	futbolista, entrenador de fútbol
http://www.wikidata.org/entity/Q206820	Anders Zorn	http://www.wikidata.org/entity/Q849874	fotograf, gravör, målare, skulptör, grafiker, akvarellist	photographer, engraver, painter, sculptor, graphic artist, printmaker, watercolorist	50	Fotograf, Graveur, Bildhauer, Grafiker, Maler, Druckgrafiker, Aquarellist	fotógrafo, grabador, escultor, artista gráfico, pintor, acuarelista
http://www.wikidata.org/entity/Q298045	Arvid Carlsson	http://www.wikidata.org/entity/Q25286	läkare, farmakolog, neuroforskare, apotekare, universitetslärare	physician, pharmacologist, neuroscientist, pharmacist, university teacher	50	Arzt, Hochschullehrer, Pharmakologe, Apotheker, Neurowissenschaftler	médico, profesor universitario, farmacólogo, farmacéutico, neurocientífico
http://www.wikidata.org/entity/Q83638	Sebastian Larsson	http://www.wikidata.org/entity/Q26498	fotbollsspelare	association football player	49	Fußballspieler	futbolista
http://www.wikidata.org/entity/Q486059	Anette Olzon	http://www.wikidata.org/entity/Q54758	låtskrivare, sångare	songwriter, singer	48	Sänger, Songschreiber	cantante, compositor de canciones
http://www.wikidata.org/entity/Q311910	Marcus Berg	http://www.wikidata.org/entity/Q3582130	fotbollsspelare	association football player	47	Fußballspieler	futbolista
http://www.wikidata.org/entity/Q192491	Olof Mellberg	http://www.wikidata.org/entity/Q1881373	fotbollsspelare	association football player	47	Fußballspieler	futbolista
http://www.wikidata.org/entity/Q178270	Andreas Granqvist	http://www.wikidata.org/entity/Q25411	fotbollsspelare	association football player	47	Fußballspieler	futbolista
http://www.wikidata.org/entity/Q5371234	Emil Forsberg	http://www.wikidata.org/entity/Q26476	fotbollsspelare	association football player	47	Fußballspieler	futbolista
http://www.wikidata.org/entity/Q4125587	Victor Nilsson Lindelöf	http://www.wikidata.org/entity/Q25412	fotbollsspelare	association football player	46	Fußballspieler	futbolista
http://www.wikidata.org/entity/Q205773	Andreas Isaksson	http://www.wikidata.org/entity/Q26943	fotbollsspelare	association football player	46	Fußballspieler	futbolista
http://www.wikidata.org/entity/Q214124	Kim Källström	http://www.wikidata.org/entity/Q54756	fotbollsspelare	association football player	46	Fußballspieler	futbolista
http://www.wikidata.org/entity/Q218369	Sven-Göran Eriksson	http://www.wikidata.org/entity/Q3582130	självbiograf, fotbollsspelare, fotbollstränare	autobiographer, association football player, association football manager	45	Autobiograf, Fußballspieler, Fußballtrainer	autobiógrafo, futbolista, entrenador de fútbol
http://www.wikidata.org/entity/Q12007	Eric Saade	http://www.wikidata.org/entity/Q2422805	TV-programledare, sångare	television presenter, singer	45	Fernsehmoderator, Sänger	presentador de televisión, cantante
http://www.wikidata.org/entity/Q187210	Malena Ernman	http://www.wikidata.org/entity/Q25286	skådespelare, musiker, operasångare, skivartist, musikalartist, artist, författare	actor, musician, opera singer, recording artist, musical theatre actor, performing artist, author	45	Musiker, darstellender Künstler, Schauspieler, Autor, Aufnahmekünstler, Musicaldarsteller, Opernsänger	músico, performer, actor, autor, artista discográfico, actor de teatro musical, cantante de ópera
http://www.wikidata.org/entity/Q271421	Torsten Wiesel	http://www.wikidata.org/entity/Q25286	neurolog, akademiker, biolog, universitetsadjunkt	neurologist, academic, biologist, lecturer	45	Biologe, Lecturer, Neurologe, Akademiker	biólogo, profesor de educación superior, neurólogo, académico
http://www.wikidata.org/entity/Q310433	Karl Knutsson (Bonde)	http://www.wikidata.org/entity/Q25286	politiker	politician	45	Politiker	político
http://www.wikidata.org/entity/Q295768	Bengt Samuelsson	http://www.wikidata.org/entity/Q26521	kemist, universitetslärare, biokemist	chemist, university teacher, biochemist	45	Chemiker, Biochemiker, Hochschullehrer	químico, bioquímico, profesor universitario
http://www.wikidata.org/entity/Q237413	Karin Boye	http://www.wikidata.org/entity/Q25287	författare, poet, litteraturkritiker, översättare, romanförfattare, kritiker, science fiction-författare	writer, poet, literary critic, translator, novelist, critic, science fiction writer	44	Schriftsteller, Dichter, Übersetzer, Literaturkritiker, Science-Fiction-Schriftsteller, Kritiker, Romancier	escritor, poeta, traductor, crítico literario, escritor de ciencia ficción, crítico, novelista
http://www.wikidata.org/entity/Q312633	Nils Liedholm	http://www.wikidata.org/entity/Q999317	fotbollstränare, fotbollsspelare, bandyspelare	association football manager, association football player, bandy player	43	Fußballspieler, Fußballtrainer, Bandyspieler	futbolista, entrenador de fútbol, jugador de bandy
http://www.wikidata.org/entity/Q11956	Ola Toivonen	http://www.wikidata.org/entity/Q1019101	fotbollsspelare	association football player	43	Fußballspieler	futbolista
http://www.wikidata.org/entity/Q192801	Robin Söderling	http://www.wikidata.org/entity/Q1017565	tennisspelare	tennis player	43	Tennisspieler	tenista
http://www.wikidata.org/entity/Q297275	Hans Blix	http://www.wikidata.org/entity/Q25286	diplomat, ämbetsman, politiker, jurist	diplomat, civil servant, politician, jurist	43	Politiker, Jurist, Staatsdiener, Diplomat	político, jurista, funcionario, diplomático
http://www.wikidata.org/entity/Q15948790	Tove Lo	http://www.wikidata.org/entity/Q25411	kompositör, sångare, låtskrivare, sångtextförfattare	composer, singer, songwriter, lyricist	43	Komponist, Songschreiber, Sänger, Liedtexter	compositor, compositor de canciones, cantante, letrista
http://www.wikidata.org/entity/Q311567	Janne Rydberg	http://www.wikidata.org/entity/Q26521	fysiker, matematiker, universitetslärare	physicist, mathematician, university teacher	43	Physiker, Mathematiker, Hochschullehrer	físico, matemático, profesor universitario
http://www.wikidata.org/entity/Q237522	Margot Wallström	http://www.wikidata.org/entity/Q616561	politiker	politician	42	Politiker	político
http://www.wikidata.org/entity/Q973265	Viktor Claesson	http://www.wikidata.org/entity/Q54771	fotbollsspelare	association football player	41	Fußballspieler	futbolista
http://www.wikidata.org/entity/Q272258	Jill Johnson	http://www.wikidata.org/entity/Q54755	låtskrivare, sångare, skivartist	songwriter, singer, recording artist	41	Sänger, Songschreiber, Aufnahmekünstler	cantante, compositor de canciones, artista discográfico
http://www.wikidata.org/entity/Q235440	Lotta Engberg	http://www.wikidata.org/entity/Q307541	pianist, TV-programledare, skivartist, schlagersångare, dansbandssångare	pianist, television presenter, recording artist, schlager singer, dansband singer	40	Aufnahmekünstler, Pianist, Fernsehmoderator	artista discográfico, pianista, presentador de televisión
http://www.wikidata.org/entity/Q235315	Sarah Sjöström	http://www.wikidata.org/entity/Q5391401	simmare	swimmer	40	Schwimmer	nadador
http://www.wikidata.org/entity/Q223672	Carolina Klüft	http://www.wikidata.org/entity/Q5035	friidrottare, TV-programledare	athletics competitor, television presenter	40	Fernsehmoderator, Leichtathlet	presentador de televisión, atleta
http://www.wikidata.org/entity/Q53660	Per Albin Hansson	http://www.wikidata.org/entity/Q2211	politiker	politician	39	Politiker	político
http://www.wikidata.org/entity/Q155141	Eric Prydz	http://www.wikidata.org/entity/Q54337	kompositör, discjockey, klubb-DJ, musikproducent, skivartist	composer, disc jockey, club DJ, record producer, recording artist	39	Komponist, Musikproduzent, DJ, Aufnahmekünstler, Club-DJ	compositor, productor discográfico, disc-jockey, artista discográfico, disc-jockey de club
http://www.wikidata.org/entity/Q244806	Johan Elmander	http://www.wikidata.org/entity/Q54743	fotbollsspelare	association football player	39	Fußballspieler	futbolista
http://www.wikidata.org/entity/Q975207	Marcus Ericsson	http://www.wikidata.org/entity/Q725826	racerbilförare	racing automobile driver	38	Autorennfahrer	piloto de automovilismo
http://www.wikidata.org/entity/Q231320	Camilla Läckberg	http://www.wikidata.org/entity/Q1285177	författare, nationalekonom, TV-programledare, romanförfattare	writer, economist, television presenter, novelist	38	Fernsehmoderator, Romancier, Schriftsteller, Wirtschaftswissenschaftler	presentador de televisión, novelista, escritor, economista
http://www.wikidata.org/entity/Q296219	Anders Svensson	http://www.wikidata.org/entity/Q25287	fotbollsspelare	association football player	38	Fußballspieler	futbolista
http://www.wikidata.org/entity/Q314511	Gunnar Gren	http://www.wikidata.org/entity/Q25287	fotbollsspelare, fotbollstränare	association football player, association football manager	38	Fußballtrainer, Fußballspieler	entrenador de fútbol, futbolista
http://www.wikidata.org/entity/Q703513	Roy Andersson	http://www.wikidata.org/entity/Q25287	filmregissör, författare, manusförfattare, filmproducent, filmklippare, regissör	film director, writer, screenwriter, film producer, film editor, director	38	Schriftsteller, Regisseur, Filmregisseur, Filmeditor, Filmproduzent, Drehbuchautor	escritor, realizador, director de cine, editor de cine, productor de cine, guionista
http://www.wikidata.org/entity/Q39658	Carl Peter Thunberg	http://www.wikidata.org/entity/Q25415	naturvetare, författare, läkare, zoolog, ornitolog, botaniker, mykolog, filosof, upptäcktsresande, lepidopterist, bryolog, pteridolog, universitetslärare	naturalist, writer, physician, zoologist, ornithologist, botanist, mycologist, philosopher, explorer, lepidopterist, bryologist, pteridologist, university teacher	38	Naturwissenschaftler, Schriftsteller, Arzt, Zoologe, Ornithologe, Lepidopterologe, Hochschullehrer, Mykologe, Botaniker, Philosoph, Forschungsreisender, Bryologe, Pteridologe	naturalista, escritor, médico, zoólogo, ornitólogo, lepidopterólogo, profesor universitario, micólogo, botánico, filósofo, explorador, briólogo, pteridólogo
http://www.wikidata.org/entity/Q316932	Mikael Lustig	http://www.wikidata.org/entity/Q25579	fotbollsspelare	association football player	38	Fußballspieler	futbolista
http://www.wikidata.org/entity/Q6799321	Robin Olsen	http://www.wikidata.org/entity/Q2211	fotbollsspelare	association football player	37	Fußballspieler	futbolista
http://www.wikidata.org/entity/Q6190659	Robin Stjernberg	http://www.wikidata.org/entity/Q847665	sångare	singer	37	Sänger	cantante
http://www.wikidata.org/entity/Q53733	Ola Ullsten	http://www.wikidata.org/entity/Q25579	politiker, diplomat	politician, diplomat	37	Politiker, Diplomat	político, diplomático
http://www.wikidata.org/entity/Q315804	Olaus Magnus	http://www.wikidata.org/entity/Q25413	diplomat, katolsk präst, kartograf, historiker, antropolog	diplomat, Catholic priest, cartographer, historian, anthropologist	37	Historiker, Diplomat, katholischer Priester, Kartograf, Anthropologe	historiador, diplomático, sacerdote católico, cartógrafo, antropólogo
http://www.wikidata.org/entity/Q313610	Marcus Allbäck	http://www.wikidata.org/entity/Q25287	fotbollsspelare	association football player	36	Fußballspieler	futbolista
http://www.wikidata.org/entity/Q233732	Ingrid Thulin	http://www.wikidata.org/entity/Q1001154	skådespelare, filmregissör, regissör, filmskådespelare	actor, film director, director, film actor	36	Schauspieler, Filmregisseur, Regisseur, Filmschauspieler	actor, director de cine, realizador, actor de cine
http://www.wikidata.org/entity/Q312935	Martin Olsson	http://www.wikidata.org/entity/Q25748	fotbollsspelare	association football player	36	Fußballspieler	futbolista
http://www.wikidata.org/entity/Q313037	Pontus Wernbloom	http://www.wikidata.org/entity/Q27455	fotbollsspelare, fotograf	association football player, photographer	36	Fotograf, Fußballspieler	fotógrafo, futbolista
http://www.wikidata.org/entity/Q276284	Christian Wilhelmsson	http://www.wikidata.org/entity/Q2211	fotbollsspelare	association football player	35	Fußballspieler	futbolista
http://www.wikidata.org/entity/Q235825	Lena Philipsson	http://www.wikidata.org/entity/Q611013	kompositör, sångare, låtskrivare, skivartist	composer, singer, songwriter, recording artist	35	Komponist, Sänger, Songschreiber, Aufnahmekünstler	compositor, cantante, compositor de canciones, artista discográfico
http://www.wikidata.org/entity/Q107796	Markus Rosenberg	http://www.wikidata.org/entity/Q2211	fotbollsspelare	association football player	35	Fußballspieler	futbolista
http://www.wikidata.org/entity/Q2718231	Kári Árnason	http://www.wikidata.org/entity/Q25287	fotbollsspelare	association football player	35	Fußballspieler	futbolista
http://www.wikidata.org/entity/Q277802	Thomas Johansson	http://www.wikidata.org/entity/Q25413	tennisspelare	tennis player	35	Tennisspieler	tenista
http://www.wikidata.org/entity/Q258214	Niclas Alexandersson	http://www.wikidata.org/entity/Q26521	fotbollsspelare	association football player	35	Fußballspieler	futbolista
http://www.wikidata.org/entity/Q312801	Per Gessle	http://www.wikidata.org/entity/Q26521	sångare, singer-songwriter, affärsman, gitarrist, skivartist	singer, singer-songwriter, businessperson, guitarist, recording artist	35	Geschäftsmann, Sänger, Gitarrist, Singer-Songwriter, Aufnahmekünstler	empresario, cantante, guitarrista, cantautor, artista discográfico
http://www.wikidata.org/entity/Q316026	Lars Lagerbäck	http://www.wikidata.org/entity/Q54758	fotbollstränare, fotbollsspelare	association football manager, association football player	35	Fußballspieler, Fußballtrainer	futbolista, entrenador de fútbol
http://www.wikidata.org/entity/Q313710	Thomas Ravelli	http://www.wikidata.org/entity/Q634231	fotbollsspelare	association football player	34	Fußballspieler	futbolista
http://www.wikidata.org/entity/Q335872	Ingemar Johansson	http://www.wikidata.org/entity/Q25287	boxare, pilot	boxer, aircraft pilot	34	Pilot, Boxer	aviador, boxeador
http://www.wikidata.org/entity/Q333941	Lars Hörmander	http://www.wikidata.org/entity/Q2012747	matematiker, universitetslärare	mathematician, university teacher	34	Mathematiker, Hochschullehrer	matemático, profesor universitario
http://www.wikidata.org/entity/Q1365667	Jimmy Durmaz	http://www.wikidata.org/entity/Q25732	fotbollsspelare	association football player	34	Fußballspieler	futbolista
http://www.wikidata.org/entity/Q310380	Jonas Björkman	http://www.wikidata.org/entity/Q26152	tennisspelare	tennis player	34	Tennisspieler	tenista
http://www.wikidata.org/entity/Q318747	Martin Dahlin	http://www.wikidata.org/entity/Q27447	spelaragent, fotbollsspelare	sports agent, association football player	34	Spielervermittler, Fußballspieler	agente deportivo, futbolista
http://www.wikidata.org/entity/Q234373	Maria Gripe	http://www.wikidata.org/entity/Q1001109	manusförfattare, författare, barnboksförfattare	screenwriter, author, writer, children's writer	33	Drehbuchautor, Schriftsteller, Kinderbuchautor, Autor	guionista, escritor, escritor de literatura infantil, autor
http://www.wikidata.org/entity/Q152067	Oscar Hiljemark	http://www.wikidata.org/entity/Q1021557	fotbollsspelare	association football player	33	Fußballspieler	futbolista
http://www.wikidata.org/entity/Q2946166	Filip Helander	http://www.wikidata.org/entity/Q2211	fotbollsspelare	association football player	33	Fußballspieler	futbolista
http://www.wikidata.org/entity/Q231880	Nina Persson	http://www.wikidata.org/entity/Q25732	skådespelare, låtskrivare, sångare	actor, songwriter, singer	33	Schauspieler, Sänger, Songschreiber	actor, cantante, compositor de canciones
http://www.wikidata.org/entity/Q173280	Ronnie Peterson	http://www.wikidata.org/entity/Q25732	racerbilförare	racing automobile driver	33	Autorennfahrer	piloto de automovilismo
http://www.wikidata.org/entity/Q18243775	Ann Linde	http://www.wikidata.org/entity/Q25411	politiker	politician	33	Politiker	político
http://www.wikidata.org/entity/Q352241	Kennet Andersson	http://www.wikidata.org/entity/Q26498	fotbollsspelare	association football player	33	Fußballspieler	futbolista
http://www.wikidata.org/entity/Q310665	Rasmus Elm	http://www.wikidata.org/entity/Q26345	fotbollsspelare	association football player	33	Fußballspieler	futbolista
http://www.wikidata.org/entity/Q229821	Agnes Carlsson	http://www.wikidata.org/entity/Q54759	sångare	singer	33	Sänger	cantante
http://www.wikidata.org/entity/Q240731	Magdalena Forsberg	http://www.wikidata.org/entity/Q645351	sportkommentator, skidskytt, längdskidåkare	sports commentator, biathlete, cross-country skier	32	Biathlet, Sportkommentator, Skilangläufer	biatleta, comentarista deportivo, esquiador de fondo
http://www.wikidata.org/entity/Q361435	Tomas Brolin	http://www.wikidata.org/entity/Q642964	fotbollsspelare, fotbollstränare	association football player, association football manager	32	Fußballspieler, Fußballtrainer	futbolista, entrenador de fútbol
http://www.wikidata.org/entity/Q1355390	Pontus Jansson	http://www.wikidata.org/entity/Q676026	fotbollsspelare	association football player	32	Fußballspieler	futbolista
http://www.wikidata.org/entity/Q233270	Charlotte Kalla	http://www.wikidata.org/entity/Q2630112	längdskidåkare, backhoppare	cross-country skier, ski jumper	32	Skilangläufer, Skispringer	esquiador de fondo, saltador de esquí
http://www.wikidata.org/entity/Q236656	Mai Zetterling	http://www.wikidata.org/entity/Q25412	manusförfattare, filmregissör, filmskådespelare, scenskådespelare	screenwriter, film director, film actor, stage actor	32	Drehbuchautor, Filmregisseur, Bühnenschauspieler, Filmschauspieler	guionista, director de cine, actor de teatro, actor de cine
http://www.wikidata.org/entity/Q549955	Jan Eliasson	http://www.wikidata.org/entity/Q25287	diplomat, politiker	diplomat, politician	32	Diplomat, Politiker	diplomático, político
http://www.wikidata.org/entity/Q315773	Jan Guillou	http://www.wikidata.org/entity/Q26518	manusförfattare, författare, affärsman, journalist, självbiograf	screenwriter, writer, author, businessperson, journalist, autobiographer	32	Drehbuchautor, Schriftsteller, Geschäftsmann, Journalist, Autor, Autobiograf	guionista, escritor, empresario, periodista, autor, autobiógrafo
http://www.wikidata.org/entity/Q319849	Lukas Moodysson	http://www.wikidata.org/entity/Q2167	manusförfattare, författare, poet, filmfotograf, serieskapare, filmregissör, regissör	screenwriter, writer, poet, cinematographer, cartoonist, film director, director	31	Schriftsteller, Drehbuchautor, Cartoonist, Filmregisseur, Kameramann, Dichter, Regisseur	escritor, guionista, humorista gráfico, director de cine, director de fotografía, poeta, realizador
http://www.wikidata.org/entity/Q3052243	Emil Salomonsson	http://www.wikidata.org/entity/Q297922	fotbollsspelare	association football player	31	Fußballspieler	futbolista
http://www.wikidata.org/entity/Q211228	Ruben Östlund	http://www.wikidata.org/entity/Q1015454	filmfotograf, filmregissör, filmklippare, manusförfattare, filmproducent	cinematographer, film director, film editor, screenwriter, film producer	31	Filmregisseur, Filmeditor, Kameramann, Filmproduzent, Drehbuchautor	director de cine, editor de cine, director de fotografía, productor de cine, guionista
http://www.wikidata.org/entity/Q231413	Mona Sahlin	http://www.wikidata.org/entity/Q1001154	politiker	politician	31	Politiker	político
