person	personLabelSv	cityOfBirth	occupationLabelsDe	occupationLabelsEs	sitelinks
http://www.wikidata.org/entity/Q383541	Basshunter	http://www.wikidata.org/entity/Q26521	DJ, Sänger, Songschreiber, Musikproduzent	disc-jockey, cantante, compositor de canciones, productor discográfico	201
http://www.wikidata.org/entity/Q7546	Ingmar Bergman	http://www.wikidata.org/entity/Q25286	Schauspieler, Drehbuchautor, Dramatiker, Autor, Filmemacher, Filmregisseur, Regisseur, Filmproduzent, Autobiograf, Bühnenregisseur	actor, guionista, dramaturgo, autor, cineasta, director de cine, realizador, productor de cine, autobiógrafo, director de teatro	146
http://www.wikidata.org/entity/Q55767	Astrid Lindgren	http://www.wikidata.org/entity/Q634231	Drehbuchautor, Schriftsteller, Kinderbuchautor, Romancier	guionista, escritor, escritor de literatura infantil, novelista	110
http://www.wikidata.org/entity/Q46896	Zlatan Ibrahimović	http://www.wikidata.org/entity/Q2211	Fußballspieler	futbolista	108
http://www.wikidata.org/entity/Q129173	Verner von Heidenstam	http://www.wikidata.org/entity/Q2257230	Schriftsteller, Dichter, Maler	escritor, poeta, pintor	91
http://www.wikidata.org/entity/Q93137	Pär Lagerkvist	http://www.wikidata.org/entity/Q26152	Drehbuchautor, Dichter, Schriftsteller, Autobiograf, Essayist, Dramatiker	guionista, poeta, escritor, autobiógrafo, ensayista, dramaturgo	87
http://www.wikidata.org/entity/Q131326	Eyvind Johnson	http://www.wikidata.org/entity/Q586179	Schriftsteller, Architekt, Übersetzer, Dichter, Journalist, Romancier, Filmregisseur	escritor, arquitecto, traductor, poeta, periodista, novelista, director de cine	81
http://www.wikidata.org/entity/Q13423853	Felix Kjellberg	http://www.wikidata.org/entity/Q25287	Fernsehproduzent, YouTuber, Schriftsteller, Internetpersönlichkeit, Gamer	productor de televisión, youtuber, escritor, celebridad de internet, jugador de videojuegos	78
http://www.wikidata.org/entity/Q160518	Gustaf Dalén	http://www.wikidata.org/entity/Q1014060	Ingenieur, Unternehmer, Physiker, Erfinder, Unternehmensleiter	ingeniero, emprendedor, físico, inventor, jefe de empresa	77
http://www.wikidata.org/entity/Q173144	Agnetha Fältskog	http://www.wikidata.org/entity/Q25415	Autobiograf, Songschreiber, Aufnahmekünstler, Popsänger, Komponist, Schauspieler	autobiógrafo, compositor de canciones, artista discográfico, cantante de pop, compositor, actor	76
http://www.wikidata.org/entity/Q230662	Anita Ekberg	http://www.wikidata.org/entity/Q2211	Schauspieler, Model, Filmschauspieler, Schönheitswettbewerbsteilnehmer	actor, modelo, actor de cine, participante en concursos de belleza	71
http://www.wikidata.org/entity/Q203215	Max von Sydow	http://www.wikidata.org/entity/Q2167	Schauspieler, Filmschauspieler, Fernsehschauspieler, Filmregisseur, Bühnenschauspieler, Regisseur	actor, actor de cine, actor de televisión, director de cine, actor de teatro, realizador	69
http://www.wikidata.org/entity/Q372460	Måns Zelmerlöw	http://www.wikidata.org/entity/Q2167	Schauspieler, Sänger, Fernsehmoderator	actor, cantante, presentador de televisión	67
http://www.wikidata.org/entity/Q439314	Alicia Vikander	http://www.wikidata.org/entity/Q25287	Schauspieler, Bühnenschauspieler, Sprecher, Filmproduzent, Tänzer, Filmschauspieler	actor, actor de teatro, actor de voz, productor de cine, bailarín, actor de cine	67
http://www.wikidata.org/entity/Q186317	Stieg Larsson	http://www.wikidata.org/entity/Q2491686	Schriftsteller, Herausgeber, Drehbuchautor, Journalist	escritor, editor, guionista, periodista	63
http://www.wikidata.org/entity/Q10560	Fredrik Ljungberg	http://www.wikidata.org/entity/Q2296795	Fußballtrainer, Fußballspieler, Model	entrenador de fútbol, futbolista, modelo	62
http://www.wikidata.org/entity/Q192712	Kai Siegbahn	http://www.wikidata.org/entity/Q2167	Physiker, Hochschullehrer	físico, profesor universitario	61
http://www.wikidata.org/entity/Q204996	Heliga Birgitta	http://www.wikidata.org/entity/Q2012977	Theologe, Politiker, Philosoph, Memoirenschreiber, Schriftsteller	teólogo, político, filósofo, memorialista, escritor	61
http://www.wikidata.org/entity/Q153637	Dietrich Buxtehude	http://www.wikidata.org/entity/Q25411	Musiker, Organist, Komponist	músico, organista, compositor	61
http://www.wikidata.org/entity/Q208667	Stellan Skarsgård	http://www.wikidata.org/entity/Q25287	Schauspieler, Filmschauspieler, Filmproduzent, Fernsehschauspieler	actor, actor de cine, productor de cine, actor de televisión	59
http://www.wikidata.org/entity/Q180836	Charlotte Perrelli	http://www.wikidata.org/entity/Q2034409	Sänger, Aufnahmekünstler, Songschreiber	cantante, artista discográfico, compositor de canciones	58
http://www.wikidata.org/entity/Q179682	Björn Ulvaeus	http://www.wikidata.org/entity/Q25287	Komponist, Musikproduzent, Gitarrist, Librettist, Musiker, Songschreiber, Sänger	compositor, productor discográfico, guitarrista, libretista, músico, compositor de canciones, cantante	58
http://www.wikidata.org/entity/Q53747	Göran Persson	http://www.wikidata.org/entity/Q777901	Politiker	político	57
http://www.wikidata.org/entity/Q2420983	Sanna Nielsen	http://www.wikidata.org/entity/Q2588526	Komponist, Fernsehmoderator, Popsänger	compositor, presentador de televisión, cantante de pop	57
http://www.wikidata.org/entity/Q179334	Henrik Larsson	http://www.wikidata.org/entity/Q25411	Fußballtrainer, Fußballspieler	entrenador de fútbol, futbolista	57
http://www.wikidata.org/entity/Q183008	Elena Paparizou	http://www.wikidata.org/entity/Q26040	Schauspieler, Komponist, Fernsehmoderator, Songschreiber, Sänger, Model	actor, compositor, presentador de televisión, compositor de canciones, cantante, modelo	57
http://www.wikidata.org/entity/Q52922	Carl Bildt	http://www.wikidata.org/entity/Q26521	Schriftsteller, Politiker, Diplomat, Blogger	escritor, político, diplomático, bloguero	57
http://www.wikidata.org/entity/Q179493	Bertil Ohlin	http://www.wikidata.org/entity/Q1018739	Politiker, Wirtschaftswissenschaftler, Hochschullehrer	político, economista, profesor universitario	56
http://www.wikidata.org/entity/Q52936	Karl X Gustav	http://www.wikidata.org/entity/Q54356	Monarch	monarca	55
http://www.wikidata.org/entity/Q189542	Stefan Edberg	http://www.wikidata.org/entity/Q54764	Tennisspieler, Squashspieler	tenista, jugador de squash	54
http://www.wikidata.org/entity/Q159723	Nathan Söderblom	http://www.wikidata.org/entity/Q10705688	Historiker, Pastor, Theologe, Hochschullehrer, Kleriker, Autobiograf	historiador, pastor, teólogo, profesor universitario, clérigo, autobiógrafo	53
http://www.wikidata.org/entity/Q16475	Mats Wilander	http://www.wikidata.org/entity/Q26152	Fernsehmoderator, Tennisspieler, Tennistrainer	presentador de televisión, tenista, entrenador de tenis	53
http://www.wikidata.org/entity/Q228676	Noomi Rapace	http://www.wikidata.org/entity/Q642964	Schauspieler, Filmschauspieler	actor, actor de cine	52
http://www.wikidata.org/entity/Q127423	Victoria Silvstedt	http://www.wikidata.org/entity/Q2491686	Schauspieler, Sänger, Persönlichkeit der Gesellschaft, Playmate, Model, Schönheitswettbewerbsteilnehmer	actor, cantante, socialité, playmate, modelo, participante en concursos de belleza	52
http://www.wikidata.org/entity/Q110111	Gunnar Nordahl	http://www.wikidata.org/entity/Q1018434	Fußballspieler, Fußballtrainer	futbolista, entrenador de fútbol	51
http://www.wikidata.org/entity/Q233951	Birgit Nilsson	http://www.wikidata.org/entity/Q3353724	Opernsänger, Sänger	cantante de ópera, cantante	51
http://www.wikidata.org/entity/Q206820	Anders Zorn	http://www.wikidata.org/entity/Q849874	Fotograf, Graveur, Bildhauer, Grafiker, Maler, Druckgrafiker, Aquarellist	fotógrafo, grabador, escultor, artista gráfico, pintor, acuarelista	50
http://www.wikidata.org/entity/Q298045	Arvid Carlsson	http://www.wikidata.org/entity/Q25286	Arzt, Hochschullehrer, Pharmakologe, Apotheker, Neurowissenschaftler	médico, profesor universitario, farmacólogo, farmacéutico, neurocientífico	50
http://www.wikidata.org/entity/Q83638	Sebastian Larsson	http://www.wikidata.org/entity/Q26498	Fußballspieler	futbolista	49
http://www.wikidata.org/entity/Q486059	Anette Olzon	http://www.wikidata.org/entity/Q54758	Sänger, Songschreiber	cantante, compositor de canciones	48
http://www.wikidata.org/entity/Q311910	Marcus Berg	http://www.wikidata.org/entity/Q3582130	Fußballspieler	futbolista	47
http://www.wikidata.org/entity/Q192491	Olof Mellberg	http://www.wikidata.org/entity/Q1881373	Fußballspieler	futbolista	47
http://www.wikidata.org/entity/Q178270	Andreas Granqvist	http://www.wikidata.org/entity/Q25411	Fußballspieler	futbolista	47
http://www.wikidata.org/entity/Q5371234	Emil Forsberg	http://www.wikidata.org/entity/Q26476	Fußballspieler	futbolista	47
http://www.wikidata.org/entity/Q4125587	Victor Nilsson Lindelöf	http://www.wikidata.org/entity/Q25412	Fußballspieler	futbolista	46
http://www.wikidata.org/entity/Q205773	Andreas Isaksson	http://www.wikidata.org/entity/Q26943	Fußballspieler	futbolista	46
http://www.wikidata.org/entity/Q214124	Kim Källström	http://www.wikidata.org/entity/Q54756	Fußballspieler	futbolista	46
http://www.wikidata.org/entity/Q12007	Eric Saade	http://www.wikidata.org/entity/Q2422805	Fernsehmoderator, Sänger	presentador de televisión, cantante	45
http://www.wikidata.org/entity/Q218369	Sven-Göran Eriksson	http://www.wikidata.org/entity/Q3582130	Autobiograf, Fußballspieler, Fußballtrainer	autobiógrafo, futbolista, entrenador de fútbol	45
http://www.wikidata.org/entity/Q187210	Malena Ernman	http://www.wikidata.org/entity/Q25286	Musiker, darstellender Künstler, Schauspieler, Autor, Aufnahmekünstler, Musicaldarsteller, Opernsänger	músico, performer, actor, autor, artista discográfico, actor de teatro musical, cantante de ópera	45
http://www.wikidata.org/entity/Q271421	Torsten Wiesel	http://www.wikidata.org/entity/Q25286	Biologe, Lecturer, Neurologe, Akademiker	biólogo, profesor de educación superior, neurólogo, académico	45
http://www.wikidata.org/entity/Q310433	Karl Knutsson (Bonde)	http://www.wikidata.org/entity/Q25286	Politiker	político	45
http://www.wikidata.org/entity/Q295768	Bengt Samuelsson	http://www.wikidata.org/entity/Q26521	Chemiker, Biochemiker, Hochschullehrer	químico, bioquímico, profesor universitario	45
http://www.wikidata.org/entity/Q237413	Karin Boye	http://www.wikidata.org/entity/Q25287	Schriftsteller, Dichter, Übersetzer, Literaturkritiker, Science-Fiction-Schriftsteller, Kritiker, Romancier	escritor, poeta, traductor, crítico literario, escritor de ciencia ficción, crítico, novelista	44
http://www.wikidata.org/entity/Q312633	Nils Liedholm	http://www.wikidata.org/entity/Q999317	Fußballspieler, Fußballtrainer, Bandyspieler	futbolista, entrenador de fútbol, jugador de bandy	43
http://www.wikidata.org/entity/Q11956	Ola Toivonen	http://www.wikidata.org/entity/Q1019101	Fußballspieler	futbolista	43
http://www.wikidata.org/entity/Q192801	Robin Söderling	http://www.wikidata.org/entity/Q1017565	Tennisspieler	tenista	43
http://www.wikidata.org/entity/Q297275	Hans Blix	http://www.wikidata.org/entity/Q25286	Politiker, Jurist, Staatsdiener, Diplomat	político, jurista, funcionario, diplomático	43
http://www.wikidata.org/entity/Q15948790	Tove Lo	http://www.wikidata.org/entity/Q25411	Komponist, Songschreiber, Sänger, Liedtexter	compositor, compositor de canciones, cantante, letrista	43
http://www.wikidata.org/entity/Q311567	Janne Rydberg	http://www.wikidata.org/entity/Q26521	Physiker, Mathematiker, Hochschullehrer	físico, matemático, profesor universitario	43
http://www.wikidata.org/entity/Q237522	Margot Wallström	http://www.wikidata.org/entity/Q616561	Politiker	político	42
http://www.wikidata.org/entity/Q973265	Viktor Claesson	http://www.wikidata.org/entity/Q54771	Fußballspieler	futbolista	41
http://www.wikidata.org/entity/Q272258	Jill Johnson	http://www.wikidata.org/entity/Q54755	Sänger, Songschreiber, Aufnahmekünstler	cantante, compositor de canciones, artista discográfico	41
http://www.wikidata.org/entity/Q235440	Lotta Engberg	http://www.wikidata.org/entity/Q307541	Aufnahmekünstler, Pianist, Fernsehmoderator	artista discográfico, pianista, presentador de televisión	40
http://www.wikidata.org/entity/Q235315	Sarah Sjöström	http://www.wikidata.org/entity/Q5391401	Schwimmer	nadador	40
http://www.wikidata.org/entity/Q223672	Carolina Klüft	http://www.wikidata.org/entity/Q5035	Fernsehmoderator, Leichtathlet	presentador de televisión, atleta	40
http://www.wikidata.org/entity/Q53660	Per Albin Hansson	http://www.wikidata.org/entity/Q2211	Politiker	político	39
http://www.wikidata.org/entity/Q155141	Eric Prydz	http://www.wikidata.org/entity/Q54337	Komponist, Musikproduzent, DJ, Aufnahmekünstler, Club-DJ	compositor, productor discográfico, disc-jockey, artista discográfico, disc-jockey de club	39
http://www.wikidata.org/entity/Q244806	Johan Elmander	http://www.wikidata.org/entity/Q54743	Fußballspieler	futbolista	39
http://www.wikidata.org/entity/Q975207	Marcus Ericsson	http://www.wikidata.org/entity/Q725826	Autorennfahrer	piloto de automovilismo	38
http://www.wikidata.org/entity/Q231320	Camilla Läckberg	http://www.wikidata.org/entity/Q1285177	Fernsehmoderator, Romancier, Schriftsteller, Wirtschaftswissenschaftler	presentador de televisión, novelista, escritor, economista	38
http://www.wikidata.org/entity/Q703513	Roy Andersson	http://www.wikidata.org/entity/Q25287	Schriftsteller, Regisseur, Filmregisseur, Filmeditor, Filmproduzent, Drehbuchautor	escritor, realizador, director de cine, editor de cine, productor de cine, guionista	38
http://www.wikidata.org/entity/Q316932	Mikael Lustig	http://www.wikidata.org/entity/Q25579	Fußballspieler	futbolista	38
http://www.wikidata.org/entity/Q296219	Anders Svensson	http://www.wikidata.org/entity/Q25287	Fußballspieler	futbolista	38
http://www.wikidata.org/entity/Q314511	Gunnar Gren	http://www.wikidata.org/entity/Q25287	Fußballtrainer, Fußballspieler	entrenador de fútbol, futbolista	38
http://www.wikidata.org/entity/Q39658	Carl Peter Thunberg	http://www.wikidata.org/entity/Q25415	Naturwissenschaftler, Schriftsteller, Arzt, Zoologe, Ornithologe, Lepidopterologe, Hochschullehrer, Mykologe, Botaniker, Philosoph, Forschungsreisender, Bryologe, Pteridologe	naturalista, escritor, médico, zoólogo, ornitólogo, lepidopterólogo, profesor universitario, micólogo, botánico, filósofo, explorador, briólogo, pteridólogo	38
http://www.wikidata.org/entity/Q6190659	Robin Stjernberg	http://www.wikidata.org/entity/Q847665	Sänger	cantante	37
http://www.wikidata.org/entity/Q6799321	Robin Olsen	http://www.wikidata.org/entity/Q2211	Fußballspieler	futbolista	37
http://www.wikidata.org/entity/Q53733	Ola Ullsten	http://www.wikidata.org/entity/Q25579	Politiker, Diplomat	político, diplomático	37
http://www.wikidata.org/entity/Q315804	Olaus Magnus	http://www.wikidata.org/entity/Q25413	Historiker, Diplomat, katholischer Priester, Kartograf, Anthropologe	historiador, diplomático, sacerdote católico, cartógrafo, antropólogo	37
http://www.wikidata.org/entity/Q233732	Ingrid Thulin	http://www.wikidata.org/entity/Q1001154	Schauspieler, Filmregisseur, Regisseur, Filmschauspieler	actor, director de cine, realizador, actor de cine	36
http://www.wikidata.org/entity/Q313610	Marcus Allbäck	http://www.wikidata.org/entity/Q25287	Fußballspieler	futbolista	36
http://www.wikidata.org/entity/Q313037	Pontus Wernbloom	http://www.wikidata.org/entity/Q27455	Fotograf, Fußballspieler	fotógrafo, futbolista	36
http://www.wikidata.org/entity/Q312935	Martin Olsson	http://www.wikidata.org/entity/Q25748	Fußballspieler	futbolista	36
http://www.wikidata.org/entity/Q235825	Lena Philipsson	http://www.wikidata.org/entity/Q611013	Komponist, Sänger, Songschreiber, Aufnahmekünstler	compositor, cantante, compositor de canciones, artista discográfico	35
http://www.wikidata.org/entity/Q276284	Christian Wilhelmsson	http://www.wikidata.org/entity/Q2211	Fußballspieler	futbolista	35
http://www.wikidata.org/entity/Q107796	Markus Rosenberg	http://www.wikidata.org/entity/Q2211	Fußballspieler	futbolista	35
http://www.wikidata.org/entity/Q2718231	Kári Árnason	http://www.wikidata.org/entity/Q25287	Fußballspieler	futbolista	35
http://www.wikidata.org/entity/Q277802	Thomas Johansson	http://www.wikidata.org/entity/Q25413	Tennisspieler	tenista	35
http://www.wikidata.org/entity/Q258214	Niclas Alexandersson	http://www.wikidata.org/entity/Q26521	Fußballspieler	futbolista	35
http://www.wikidata.org/entity/Q312801	Per Gessle	http://www.wikidata.org/entity/Q26521	Geschäftsmann, Sänger, Gitarrist, Singer-Songwriter, Aufnahmekünstler	empresario, cantante, guitarrista, cantautor, artista discográfico	35
http://www.wikidata.org/entity/Q316026	Lars Lagerbäck	http://www.wikidata.org/entity/Q54758	Fußballspieler, Fußballtrainer	futbolista, entrenador de fútbol	35
http://www.wikidata.org/entity/Q313710	Thomas Ravelli	http://www.wikidata.org/entity/Q634231	Fußballspieler	futbolista	34
http://www.wikidata.org/entity/Q335872	Ingemar Johansson	http://www.wikidata.org/entity/Q25287	Pilot, Boxer	aviador, boxeador	34
http://www.wikidata.org/entity/Q333941	Lars Hörmander	http://www.wikidata.org/entity/Q2012747	Mathematiker, Hochschullehrer	matemático, profesor universitario	34
http://www.wikidata.org/entity/Q1365667	Jimmy Durmaz	http://www.wikidata.org/entity/Q25732	Fußballspieler	futbolista	34
http://www.wikidata.org/entity/Q318747	Martin Dahlin	http://www.wikidata.org/entity/Q27447	Spielervermittler, Fußballspieler	agente deportivo, futbolista	34
http://www.wikidata.org/entity/Q310380	Jonas Björkman	http://www.wikidata.org/entity/Q26152	Tennisspieler	tenista	34
http://www.wikidata.org/entity/Q234373	Maria Gripe	http://www.wikidata.org/entity/Q1001109	Drehbuchautor, Schriftsteller, Kinderbuchautor, Autor	guionista, escritor, escritor de literatura infantil, autor	33
http://www.wikidata.org/entity/Q152067	Oscar Hiljemark	http://www.wikidata.org/entity/Q1021557	Fußballspieler	futbolista	33
http://www.wikidata.org/entity/Q2946166	Filip Helander	http://www.wikidata.org/entity/Q2211	Fußballspieler	futbolista	33
http://www.wikidata.org/entity/Q352241	Kennet Andersson	http://www.wikidata.org/entity/Q26498	Fußballspieler	futbolista	33
http://www.wikidata.org/entity/Q231880	Nina Persson	http://www.wikidata.org/entity/Q25732	Schauspieler, Sänger, Songschreiber	actor, cantante, compositor de canciones	33
http://www.wikidata.org/entity/Q173280	Ronnie Peterson	http://www.wikidata.org/entity/Q25732	Autorennfahrer	piloto de automovilismo	33
http://www.wikidata.org/entity/Q18243775	Ann Linde	http://www.wikidata.org/entity/Q25411	Politiker	político	33
http://www.wikidata.org/entity/Q310665	Rasmus Elm	http://www.wikidata.org/entity/Q26345	Fußballspieler	futbolista	33
http://www.wikidata.org/entity/Q229821	Agnes Carlsson	http://www.wikidata.org/entity/Q54759	Sänger	cantante	33
http://www.wikidata.org/entity/Q361435	Tomas Brolin	http://www.wikidata.org/entity/Q642964	Fußballspieler, Fußballtrainer	futbolista, entrenador de fútbol	32
http://www.wikidata.org/entity/Q240731	Magdalena Forsberg	http://www.wikidata.org/entity/Q645351	Biathlet, Sportkommentator, Skilangläufer	biatleta, comentarista deportivo, esquiador de fondo	32
http://www.wikidata.org/entity/Q1355390	Pontus Jansson	http://www.wikidata.org/entity/Q676026	Fußballspieler	futbolista	32
http://www.wikidata.org/entity/Q233270	Charlotte Kalla	http://www.wikidata.org/entity/Q2630112	Skilangläufer, Skispringer	esquiador de fondo, saltador de esquí	32
http://www.wikidata.org/entity/Q549955	Jan Eliasson	http://www.wikidata.org/entity/Q25287	Diplomat, Politiker	diplomático, político	32
http://www.wikidata.org/entity/Q236656	Mai Zetterling	http://www.wikidata.org/entity/Q25412	Drehbuchautor, Filmregisseur, Bühnenschauspieler, Filmschauspieler	guionista, director de cine, actor de teatro, actor de cine	32
http://www.wikidata.org/entity/Q315773	Jan Guillou	http://www.wikidata.org/entity/Q26518	Drehbuchautor, Schriftsteller, Geschäftsmann, Journalist, Autor, Autobiograf	guionista, escritor, empresario, periodista, autor, autobiógrafo	32
http://www.wikidata.org/entity/Q319849	Lukas Moodysson	http://www.wikidata.org/entity/Q2167	Schriftsteller, Drehbuchautor, Cartoonist, Filmregisseur, Kameramann, Dichter, Regisseur	escritor, guionista, humorista gráfico, director de cine, director de fotografía, poeta, realizador	31
http://www.wikidata.org/entity/Q211228	Ruben Östlund	http://www.wikidata.org/entity/Q1015454	Filmregisseur, Filmeditor, Kameramann, Filmproduzent, Drehbuchautor	director de cine, editor de cine, director de fotografía, productor de cine, guionista	31
http://www.wikidata.org/entity/Q231413	Mona Sahlin	http://www.wikidata.org/entity/Q1001154	Politiker	político	31
http://www.wikidata.org/entity/Q3052243	Emil Salomonsson	http://www.wikidata.org/entity/Q297922	Fußballspieler	futbolista	31
http://www.wikidata.org/entity/Q132154	Amy Deasismont	http://www.wikidata.org/entity/Q25724	Schauspieler, Sänger, Eiskunstläufer	actor, cantante, patinador artístico sobre hielo	31
http://www.wikidata.org/entity/Q20713	Axwell	http://www.wikidata.org/entity/Q2167	DJ, Musikproduzent, Songschreiber	disc-jockey, productor discográfico, compositor de canciones	30
http://www.wikidata.org/entity/Q299435	Petter Hansson	http://www.wikidata.org/entity/Q746839	Fußballspieler	futbolista	30
http://www.wikidata.org/entity/Q275986	Valon Berisha	http://www.wikidata.org/entity/Q2211	Fußballspieler	futbolista	30
http://www.wikidata.org/entity/Q236660	Liza Marklund	http://www.wikidata.org/entity/Q21169	Schriftsteller, Journalist	escritor, periodista	30
http://www.wikidata.org/entity/Q311360	Stefan Holm	http://www.wikidata.org/entity/Q1303800	Leichtathlet	atleta	30
http://www.wikidata.org/entity/Q232705	Emma Green Tregaro	http://www.wikidata.org/entity/Q25287	Leichtathlet	atleta	30
http://www.wikidata.org/entity/Q936854	Gustav Svensson	http://www.wikidata.org/entity/Q25287	Fußballspieler	futbolista	30
http://www.wikidata.org/entity/Q6077213	Isaac Thelin	http://www.wikidata.org/entity/Q25732	Fußballspieler	futbolista	30
http://www.wikidata.org/entity/Q312379	Jonas Olsson	http://www.wikidata.org/entity/Q54352	Fußballspieler	futbolista	30
http://www.wikidata.org/entity/Q923556	Jonas Jonasson	http://www.wikidata.org/entity/Q26152	Journalist, Schriftsteller	periodista, escritor	30
http://www.wikidata.org/entity/Q27999595	Hanna Öberg	http://www.wikidata.org/entity/Q83232	Student, Biathlet	estudiante, biatleta	30
http://www.wikidata.org/entity/Q5371332	Emil Krafth	http://www.wikidata.org/entity/Q744491	Fußballspieler	futbolista	29
http://www.wikidata.org/entity/Q235108	Inger Nilsson	http://www.wikidata.org/entity/Q1017607	Schauspieler, Filmschauspieler, Sekretär, Sänger	actor, actor de cine, secretario, cantante	29
http://www.wikidata.org/entity/Q272545	Sofia Helin	http://www.wikidata.org/entity/Q3055207	Filmschauspieler	actor de cine	29
http://www.wikidata.org/entity/Q315986	Simon Aspelin	http://www.wikidata.org/entity/Q990771	Tennisspieler	tenista	29
http://www.wikidata.org/entity/Q723674	Mikael Persbrandt	http://www.wikidata.org/entity/Q1370248	Bühnenschauspieler, Schauspieler, Filmschauspieler	actor de teatro, actor, actor de cine	29
http://www.wikidata.org/entity/Q432854	Linda Sembrant	http://www.wikidata.org/entity/Q25286	Fußballspieler	futbolista	29
http://www.wikidata.org/entity/Q444033	Glenn Hysén	http://www.wikidata.org/entity/Q25287	Fernsehmoderator, Trainerassistent, Fußballspieler	presentador de televisión, segundo entrenador, futbolista	29
http://www.wikidata.org/entity/Q313036	Tobias Hysén	http://www.wikidata.org/entity/Q25287	Fußballspieler	futbolista	29
http://www.wikidata.org/entity/Q460924	Caroline Seger	http://www.wikidata.org/entity/Q25411	Fußballspieler	futbolista	29
http://www.wikidata.org/entity/Q432909	Sofia Jakobsson	http://www.wikidata.org/entity/Q28327	Fußballspieler	futbolista	29
http://www.wikidata.org/entity/Q348416	Peter Forsberg	http://www.wikidata.org/entity/Q28327	Eishockeyspieler	jugador de hockey sobre hielo	29
http://www.wikidata.org/entity/Q267242	Ivar Lo-Johansson	http://www.wikidata.org/entity/Q738338	Schriftsteller, Dichter, Journalist, Autobiograf, Romancier	escritor, poeta, periodista, autobiógrafo, novelista	28
http://www.wikidata.org/entity/Q537489	Håkan Röde	http://www.wikidata.org/entity/Q509088	Monarch	monarca	28
http://www.wikidata.org/entity/Q233328	Johanna Larsson	http://www.wikidata.org/entity/Q586179	Tennisspieler	tenista	28
http://www.wikidata.org/entity/Q432154	Stefan Schwarz	http://www.wikidata.org/entity/Q2211	Fußballspieler	futbolista	28
http://www.wikidata.org/entity/Q442182	Klas Ingesson	http://www.wikidata.org/entity/Q293968	Fußballspieler, Fußballtrainer, Holzfäller	futbolista, entrenador de fútbol, leñador	28
http://www.wikidata.org/entity/Q431669	Oscar Lewicki	http://www.wikidata.org/entity/Q2211	Fußballspieler	futbolista	28
http://www.wikidata.org/entity/Q357870	Erik Hamrén	http://www.wikidata.org/entity/Q1019575	Fußballtrainer, Bandyspieler	entrenador de fútbol, jugador de bandy	28
http://www.wikidata.org/entity/Q161918	Ralf Edström	http://www.wikidata.org/entity/Q1019101	Fußballspieler	futbolista	28
http://www.wikidata.org/entity/Q349308	Jonas Eriksson	http://www.wikidata.org/entity/Q3183470	Geschäftsmann, Fußballschiedsrichter	empresario, árbitro de fútbol	28
http://www.wikidata.org/entity/Q267217	Viveca Lindfors	http://www.wikidata.org/entity/Q25286	Drehbuchautor, Filmproduzent, Filmregisseur, Filmschauspieler, Schauspieler, Fernsehschauspieler, Bühnenschauspieler	guionista, productor de cine, director de cine, actor de cine, actor, actor de televisión, actor de teatro	28
http://www.wikidata.org/entity/Q342686	Stefan Olsdal	http://www.wikidata.org/entity/Q25287	Songschreiber, Bassist	compositor de canciones, bajista	28
http://www.wikidata.org/entity/Q342387	Jesper Blomqvist	http://www.wikidata.org/entity/Q25579	Fußballspieler	futbolista	28
http://www.wikidata.org/entity/Q313636	Christian Olsson	http://www.wikidata.org/entity/Q25287	Leichtathlet	atleta	28
http://www.wikidata.org/entity/Q256856	Elisabeth Andreassen	http://www.wikidata.org/entity/Q25287	Pianist, Gitarrist, Volkssänger, Aufnahmekünstler, Rocksänger	pianista, guitarrista, cantante tradicional, artista discográfico, cantante de rock	28
http://www.wikidata.org/entity/Q361403	Mikael Antonsson	http://www.wikidata.org/entity/Q25789	Fußballspieler	futbolista	28
http://www.wikidata.org/entity/Q318533	Samuel Holmén	http://www.wikidata.org/entity/Q2128907	Fußballspieler	futbolista	28
http://www.wikidata.org/entity/Q256776	Maria Bonnevie	http://www.wikidata.org/entity/Q25412	Schauspieler, Filmschauspieler, Bühnenschauspieler	actor, actor de cine, actor de teatro	28
http://www.wikidata.org/entity/Q343096	Johan Wiland	http://www.wikidata.org/entity/Q26040	Fußballspieler	futbolista	28
http://www.wikidata.org/entity/Q455831	Jonas Jerebko	http://www.wikidata.org/entity/Q26040	Basketballspieler	baloncestista	28
http://www.wikidata.org/entity/Q167787	Jan Jönsson	http://www.wikidata.org/entity/Q26521	Fußballspieler, Fußballtrainer	futbolista, entrenador de fútbol	28
http://www.wikidata.org/entity/Q232586	Sofia Arvidsson	http://www.wikidata.org/entity/Q26521	Tennisspieler	tenista	28
http://www.wikidata.org/entity/Q16632843	Patrik Carlgren	http://www.wikidata.org/entity/Q26509	Fußballspieler	futbolista	28
http://www.wikidata.org/entity/Q4944209	Sara Danius	http://www.wikidata.org/entity/Q54337	Professor, Hochschullehrer, Literaturkritiker, Philosoph	catedrático, profesor universitario, crítico literario, filósofo	28
http://www.wikidata.org/entity/Q232429	Maud Adams	http://www.wikidata.org/entity/Q26268	Model, Schauspieler, Filmschauspieler	modelo, actor, actor de cine	28
http://www.wikidata.org/entity/Q351934	Daniel Andersson	http://www.wikidata.org/entity/Q2167	Fußballspieler	futbolista	27
http://www.wikidata.org/entity/Q362157	Henrik Lundqvist	http://www.wikidata.org/entity/Q271138	Eishockeyspieler	jugador de hockey sobre hielo	27
http://www.wikidata.org/entity/Q437700	Torgny Lindgren	http://www.wikidata.org/entity/Q1017058	Schriftsteller	escritor	27
