person	personLabelSv	cityOfBirth	occupationLabelsDe	occupationLabelsEs	sitelinks
http://www.wikidata.org/entity/Q4895701	Bertil Norström	http://www.wikidata.org/entity/Q930262	Schauspieler	actor	6
http://www.wikidata.org/entity/Q5578294	Hugo Björne	http://www.wikidata.org/entity/Q21168	Schauspieler	actor	6
http://www.wikidata.org/entity/Q6061115	Jörgen Ragnarsson	http://www.wikidata.org/entity/Q271335	Segler	regatista	6
http://www.wikidata.org/entity/Q3357033	Oscar Rosander	http://www.wikidata.org/entity/Q1001905	Schauspieler, Filmeditor, Regisseur	actor, editor de cine, realizador	6
http://www.wikidata.org/entity/Q634442	Ericus Johannis Schroderus	http://www.wikidata.org/entity/Q25286	Historiker, Lexikograf, Linguist	historiador, lexicógrafo, lingüista	6
http://www.wikidata.org/entity/Q3427924	Tobias Karlsson	http://www.wikidata.org/entity/Q1001505	Tänzer	bailarín	6
http://www.wikidata.org/entity/Q7606076	Stefan Eriksson	http://www.wikidata.org/entity/Q21167	Tennisspieler	tenista	6
http://www.wikidata.org/entity/Q527189	Chioma Nnamaka	http://www.wikidata.org/entity/Q25286	Basketballspieler	baloncestista	6
http://www.wikidata.org/entity/Q27130935	Jessica Ryde	http://www.wikidata.org/entity/Q2167	Handballspieler	balonmanista	6
http://www.wikidata.org/entity/Q693011	Ulf Eriksson	http://www.wikidata.org/entity/Q25286	Fußballspieler	futbolista	6
http://www.wikidata.org/entity/Q4955920	Linda Lindorff	http://www.wikidata.org/entity/Q1760456	Fernsehmoderator, Model, Reporter, Schönheitswettbewerbsteilnehmer	presentador de televisión, modelo, reportero, participante en concursos de belleza	6
http://www.wikidata.org/entity/Q41449422	Mattias Andersson	http://www.wikidata.org/entity/Q2211	Fußballspieler	futbolista	6
http://www.wikidata.org/entity/Q24450544	Hanne Gråhns	http://www.wikidata.org/entity/Q1001183	Fußballspieler	futbolista	6
http://www.wikidata.org/entity/Q1783208	Mattias Andersson	http://www.wikidata.org/entity/Q1001905	Fußballspieler	futbolista	6
http://www.wikidata.org/entity/Q16633369	Joel Rajalakso	http://www.wikidata.org/entity/Q21167	Fußballspieler	futbolista	6
http://www.wikidata.org/entity/Q3038346	Kent Forsberg	http://www.wikidata.org/entity/Q388953	Eishockeytrainer, Eishockeyspieler	entrenador de hockey sobre hielo, jugador de hockey sobre hielo	6
http://www.wikidata.org/entity/Q2851296	Anne Swärd	http://www.wikidata.org/entity/Q1736327	Schriftsteller	escritor	6
http://www.wikidata.org/entity/Q529463	Karl Johansson	http://www.wikidata.org/entity/Q1001183	Orientierungsläufer	orientador	6
http://www.wikidata.org/entity/Q1910663	Mattias Hugosson	http://www.wikidata.org/entity/Q1786152	Fußballspieler	futbolista	6
http://www.wikidata.org/entity/Q4962062	Jessica Liedberg	http://www.wikidata.org/entity/Q1796281	Schauspieler	actor	6
http://www.wikidata.org/entity/Q445715	Daniel Widing	http://www.wikidata.org/entity/Q1001183	Eishockeyspieler	jugador de hockey sobre hielo	6
http://www.wikidata.org/entity/Q16946306	Anja Kontor	http://www.wikidata.org/entity/Q25286	Fernsehmoderator, Journalist	presentador de televisión, periodista	6
http://www.wikidata.org/entity/Q37007691	Adam Ståhl	http://www.wikidata.org/entity/Q2211	Fußballspieler	futbolista	6
http://www.wikidata.org/entity/Q17479231	Oswald Johansson	http://www.wikidata.org/entity/Q25286	Radrennfahrer	ciclista	6
http://www.wikidata.org/entity/Q456456	Mattias Steuchius	http://www.wikidata.org/entity/Q3588743	Priester, Politiker, Hochschullehrer	sacerdote, político, profesor universitario	6
http://www.wikidata.org/entity/Q1338809	Sabiene Karlsson	http://www.wikidata.org/entity/Q3588743	Biathlet	biatleta	6
http://www.wikidata.org/entity/Q16580491	Måns Hedberg	http://www.wikidata.org/entity/Q953769	Snowboarder	snowboarder	6
http://www.wikidata.org/entity/Q4730891	Allan Nilsson	http://www.wikidata.org/entity/Q25287	Schachspieler	ajedrecista	6
http://www.wikidata.org/entity/Q4583327	Staffan William-Olsson	http://www.wikidata.org/entity/Q25287	Jazzmusiker, Jazz-Gitarrist, Komponist	músico de jazz, guitarrista de jazz, compositor	6
http://www.wikidata.org/entity/Q4988369	Victoria Dyring	http://www.wikidata.org/entity/Q5273924	Fernsehmoderator, Filmproduzent	presentador de televisión, productor de cine	6
http://www.wikidata.org/entity/Q2847120	André	http://www.wikidata.org/entity/Q25286	Graffiti-Künstler, Maler	artista de graffiti, pintor	6
http://www.wikidata.org/entity/Q4766784	Anna-Lena Lodenius	http://www.wikidata.org/entity/Q3588743	Schriftsteller, Journalist	escritor, periodista	6
http://www.wikidata.org/entity/Q6091054	Peter Samuelsson	http://www.wikidata.org/entity/Q1019101	Fußballspieler	futbolista	6
http://www.wikidata.org/entity/Q1581082	Hans Linde	http://www.wikidata.org/entity/Q25287	Politiker	político	6
http://www.wikidata.org/entity/Q3090428	Martin Wiberg	http://www.wikidata.org/entity/Q2492470	Ingenieur, Erfinder	ingeniero, inventor	6
http://www.wikidata.org/entity/Q3124558	Göran Lambertz	http://www.wikidata.org/entity/Q1017607	Richter	juez	6
http://www.wikidata.org/entity/Q4937066	Linnea Axelsson	http://www.wikidata.org/entity/Q1018421	Schriftsteller, Dichter	escritor, poeta	6
http://www.wikidata.org/entity/Q5602487	Johan Eberhard Carlberg	http://www.wikidata.org/entity/Q25287	Architekt	arquitecto	6
http://www.wikidata.org/entity/Q1327408	Joakim Nilsson	http://www.wikidata.org/entity/Q1025480	Fußballspieler	futbolista	6
http://www.wikidata.org/entity/Q1121514	Klara Svensson	http://www.wikidata.org/entity/Q1025480	Boxer	boxeador	6
http://www.wikidata.org/entity/Q3320717	Monica Holler	http://www.wikidata.org/entity/Q1076290	Radrennfahrer	ciclista	6
http://www.wikidata.org/entity/Q3487805	Einar Lindqvist	http://www.wikidata.org/entity/Q25286	Eishockeyspieler, Bandyspieler	jugador de hockey sobre hielo, jugador de bandy	6
http://www.wikidata.org/entity/Q3363834	Ann-Kristine Johansson	http://www.wikidata.org/entity/Q1024656	Politiker	político	6
http://www.wikidata.org/entity/Q26837404	Mia Hermansson	http://www.wikidata.org/entity/Q2167	Judoka	yudoca	6
http://www.wikidata.org/entity/Q1645364	Nils Linde	http://www.wikidata.org/entity/Q25287	Leichtathlet	atleta	6
http://www.wikidata.org/entity/Q3372012	Margareta Stone	http://www.wikidata.org/entity/Q586179	Schauspieler, Filmschauspieler	actor, actor de cine	6
http://www.wikidata.org/entity/Q503572	Tomas Nordin	http://www.wikidata.org/entity/Q3240427	Curler	curler	6
http://www.wikidata.org/entity/Q1730675	Karl Corneliusson	http://www.wikidata.org/entity/Q25287	Fußballspieler	futbolista	6
http://www.wikidata.org/entity/Q1704422	Josef Börjesson	http://www.wikidata.org/entity/Q25287	Fußballspieler	futbolista	6
http://www.wikidata.org/entity/Q1806220	Lars Göran Carlson	http://www.wikidata.org/entity/Q25287	Schauspieler, Regisseur, Filmregisseur, Filmschauspieler	actor, realizador, director de cine, actor de cine	6
http://www.wikidata.org/entity/Q3780283	Göran Abrahamsson	http://www.wikidata.org/entity/Q25287	Fechter	esgrimista	6
http://www.wikidata.org/entity/Q3783160	Hans Lagerwall	http://www.wikidata.org/entity/Q25287	Fechter	esgrimista	6
http://www.wikidata.org/entity/Q19819217	Eric Martinsson	http://www.wikidata.org/entity/Q1018739	Eishockeyspieler	jugador de hockey sobre hielo	6
http://www.wikidata.org/entity/Q1673538	Isabel Edvardsson	http://www.wikidata.org/entity/Q25287	Tänzer	bailarín	6
http://www.wikidata.org/entity/Q1496152	Jakob Wegelius	http://www.wikidata.org/entity/Q25287	Schriftsteller	escritor	6
http://www.wikidata.org/entity/Q1788006	Christopher Gillberg	http://www.wikidata.org/entity/Q25287	Psychiater	psiquiatra	6
http://www.wikidata.org/entity/Q2010411	Alexander Nadj	http://www.wikidata.org/entity/Q25287	Fußballspieler	futbolista	6
http://www.wikidata.org/entity/Q385121	Ulf Isaksson	http://www.wikidata.org/entity/Q3146766	Eishockeyspieler	jugador de hockey sobre hielo	6
http://www.wikidata.org/entity/Q5650816	Hans Wallmark	http://www.wikidata.org/entity/Q586179	Politiker	político	6
http://www.wikidata.org/entity/Q7616446	Stig Mårtensson	http://www.wikidata.org/entity/Q3051144	Radrennfahrer	ciclista	6
http://www.wikidata.org/entity/Q1807561	Sten Broman	http://www.wikidata.org/entity/Q25286	Bratschist, Fernsehmoderator, Komponist	violista, presentador de televisión, compositor	6
http://www.wikidata.org/entity/Q1453266	Fredrik Johansson	http://www.wikidata.org/entity/Q25286	Radrennfahrer	ciclista	6
http://www.wikidata.org/entity/Q727387	Kjell Dahlin	http://www.wikidata.org/entity/Q1195439	Eishockeyspieler	jugador de hockey sobre hielo	6
http://www.wikidata.org/entity/Q4940150	Gullan Bornemark	http://www.wikidata.org/entity/Q3240427	Komponist, Songschreiber, Sänger	compositor, compositor de canciones, cantante	6
http://www.wikidata.org/entity/Q4351434	Stig Ossian Ericson	http://www.wikidata.org/entity/Q3240427	Schauspieler, Drehbuchautor, Regisseur, Filmregisseur	actor, guionista, realizador, director de cine	6
http://www.wikidata.org/entity/Q4939844	Frida Boisen	http://www.wikidata.org/entity/Q3240427	Journalist	periodista	6
